State Name,State Abbr [State] Latest available year,ANSI/FIPS State Code [State] Latest available year,Grade 12 Students - Two or More Races [State] 2024-25,Grade 12 Students - Two or More Races [State] 2023-24,Grade 12 Students - Two or More Races [State] 2022-23,Grade 12 Students - Two or More Races [State] 2021-22,Grade 12 Students - Two or More Races [State] 2020-21,Grade 12 Students - Two or More Races [State] 2019-20,Grade 12 Students - Nat. Hawaiian or Other Pacific Isl. [State] 2024-25,Grade 12 Students - Nat. Hawaiian or Other Pacific Isl. [State] 2023-24,Grade 12 Students - Nat. Hawaiian or Other Pacific Isl. [State] 2022-23,Grade 12 Students - Nat. Hawaiian or Other Pacific Isl. [State] 2021-22,Grade 12 Students - Nat. Hawaiian or Other Pacific Isl. [State] 2020-21,Grade 12 Students - Nat. Hawaiian or Other Pacific Isl. [State] 2019-20,Grade 12 Students - White [State] 2024-25,Grade 12 Students - White [State] 2023-24,Grade 12 Students - White [State] 2022-23,Grade 12 Students - White [State] 2021-22,Grade 12 Students - White [State] 2020-21,Grade 12 Students - White [State] 2019-20,Grade 12 Students - Black or African American [State] 2024-25,Grade 12 Students - Black or African American [State] 2023-24,Grade 12 Students - Black or African American [State] 2022-23,Grade 12 Students - Black or African American [State] 2021-22,Grade 12 Students - Black or African American [State] 2020-21,Grade 12 Students - Black or African American [State] 2019-20,Grade 12 Students - Hispanic [State] 2024-25,Grade 12 Students - Hispanic [State] 2023-24,Grade 12 Students - Hispanic [State] 2022-23,Grade 12 Students - Hispanic [State] 2021-22,Grade 12 Students - Hispanic [State] 2020-21,Grade 12 Students - Hispanic [State] 2019-20,Grade 12 Students - Asian or Asian/Pacific Islander [State] 2024-25,Grade 12 Students - Asian or Asian/Pacific Islander [State] 2023-24,Grade 12 Students - Asian or Asian/Pacific Islander [State] 2022-23,Grade 12 Students - Asian or Asian/Pacific Islander [State] 2021-22,Grade 12 Students - Asian or Asian/Pacific Islander [State] 2020-21,Grade 12 Students - Asian or Asian/Pacific Islander [State] 2019-20,Grade 12 Students - American Indian/Alaska Native [State] 2024-25,Grade 12 Students - American Indian/Alaska Native [State] 2023-24,Grade 12 Students - American Indian/Alaska Native [State] 2022-23,Grade 12 Students - American Indian/Alaska Native [State] 2021-22,Grade 12 Students - American Indian/Alaska Native [State] 2020-21,Grade 12 Students - American Indian/Alaska Native [State] 2019-20,Total Grade 12 - female [State] 2024-25,Total Grade 12 - female [State] 2023-24,Total Grade 12 - female [State] 2022-23,Total Grade 12 - female [State] 2021-22,Total Grade 12 - female [State] 2020-21,Total Grade 12 - female [State] 2019-20,Total Grade 12 - male [State] 2024-25,Total Grade 12 - male [State] 2023-24,Total Grade 12 - male [State] 2022-23,Total Grade 12 - male [State] 2021-22,Total Grade 12 - male [State] 2020-21,Total Grade 12 - male [State] 2019-20,Pupil/Teacher Ratio [State] 2024-25,Pupil/Teacher Ratio [State] 2023-24,Pupil/Teacher Ratio [State] 2022-23,Pupil/Teacher Ratio [State] 2021-22,Pupil/Teacher Ratio [State] 2020-21,Pupil/Teacher Ratio [State] 2019-20,Full-Time Equivalent (FTE) Teachers [State] 2024-25,Full-Time Equivalent (FTE) Teachers [State] 2023-24,Full-Time Equivalent (FTE) Teachers [State] 2022-23,Full-Time Equivalent (FTE) Teachers [State] 2021-22,Full-Time Equivalent (FTE) Teachers [State] 2020-21,Full-Time Equivalent (FTE) Teachers [State] 2019-20,Secondary Teachers [State] 2024-25,Secondary Teachers [State] 2023-24,Secondary Teachers [State] 2022-23,Secondary Teachers [State] 2021-22,Secondary Teachers [State] 2020-21,Secondary Teachers [State] 2019-20,Instruction Expenditures - Salaries (E11) [State Finance] 2021-22,Instruction Expenditures - Salaries (E11) [State Finance] 2020-21,Instruction Expenditures - Salaries (E11) [State Finance] 2019-20,Instruction Expenditures - Tuition (E14) [State Finance] 2021-22,Instruction Expenditures - Tuition (E14) [State Finance] 2020-21,Instruction Expenditures - Tuition (E14) [State Finance] 2019-20,Total Salary Expenditures (E11+TE21 +E3A11+E3B11) [State Finance] 2021-22,Total Salary Expenditures (E11+TE21 +E3A11+E3B11) [State Finance] 2020-21,Total Salary Expenditures (E11+TE21 +E3A11+E3B11) [State Finance] 2019-20
ALABAMA,AL ,01,1454,1302,1189,978,922,944,59,50,56,55,56,59,27402,27322,28037,28073,28568,28511,16483,15413,15240,15533,15804,16625,5791,4937,4360,4099,3879,3476,889,817,880,892,800,738,463,486,499,498,526,536,25909,24977,24774,24735,25116,25201,26632,25350,25487,25393,25439,25688,17.4,17.47,17.87,19.27,17.35,17.71,43161.23,42857.92,42021.62,38835.49,42335.96,42021.73,20126.62,20188.71,19046.64,17547.77,19414.51,19611.36,3062028343,2869797953,2794359094,3280189,2632116,3419476,4752537540,4370017116,4272420958
ALASKA,AK ,02,1220,1196,1132,1034,1001,1027,320,325,337,315,304,293,4610,4509,4424,4454,4503,4366,267,241,234,269,245,287,729,759,684,673,668,707,589,605,639,618,635,663,2248,2130,2131,2000,2066,2140,4710,4786,4628,4546,4587,4572,5273,4979,4953,4817,4835,4911,18.94,18.17,18.26,17.93,17.18,17.64,6858.27,7221.23,7160.48,7245.64,7558.21,7483.72,3438.89,3673.47,3484.14,3501.88,3613.96,3576.62,773120818,745838741,725390799,879494,1210339,910897,1195151063,1159832566,1130993855
ARIZONA,AZ ,04,3651,3268,2934,2625,2394,2804,351,366,379,377,299,261,32803,33036,33482,33632,34044,33418,5956,5876,5536,5443,5208,5105,49159,46918,45516,43506,41574,41630,2898,2750,2752,2852,2650,2489,4508,4558,4523,4632,4329,4238,49395,48202,47520,45745,44817,44103,49931,48570,47602,47322,45681,45842,17.85,22.69,22.84,22.18,22.43,23.56,61859.34,49260.47,49565.89,51093.38,49546.93,48911.78,20864.57,15996.72,15491.46,16022.43,15680.79,15246.68,4177469974,3945359867,3690820526,2902037,2922296,2915640,6638594723,6179135221,5775772244
ARKANSAS,AR ,05,1247,1135,1047,925,854,708,317,252,270,250,249,194,20646,19740,20231,20388,20925,21146,6369,5828,6056,6163,6432,6588,5495,4961,4626,4598,4531,4370,640,569,639,641,588,595,216,202,205,200,220,221,17268,16136,16467,16491,16560,16787,17662,16551,16607,16674,17239,17035,12.47,12.51,12.7,12.6,12.62,12.86,39397.74,38755.1,38814.62,38846.41,38542.66,38629.48,17300.3,16388.28,16001.82,15551.78,18159.57,18816.35,2154741543,2072793413,1989765192,17130940,16781451,18030022,3352872397,3206622639,3082363767
CALIFORNIA,CA ,06,22403,21909,‡,19983,18641,18351,2171,2143,‡,2342,2379,2416,99824,103234,‡,110095,113377,112786,24815,25701,‡,26425,26562,27579,275645,281718,‡,271368,265778,261971,60016,61019,‡,62181,62363,60833,2236,2296,‡,2501,2498,2628,233004,239756,‡,238724,237553,235288,254106,258264,‡,256171,254045,251276,21.67,21.77,21.86,22.01,22.47,22.67,267943.75,268194.63,267658.51,267758.5,269850.03,271805.2,91509.91,91540.17,91897.84,91149.76,89900.78,87079.49,33587954311,30949087272,30488297715,1067416311,1012554553,1058199707,53462583724,48989580430,48084167783
COLORADO,CO ,08,3491,3250,3095,2909,2793,2651,232,207,206,193,231,179,36368,36810,36104,37487,37709,37146,3474,3178,3176,3058,3189,3305,27786,26453,25742,25055,24634,24051,2350,2353,2403,2382,2465,2441,490,487,487,540,493,508,36240,35753,34924,35217,35261,34289,37951,36985,36289,36407,36253,35992,16.17,16.1,16.26,16.34,16.26,16.94,53489.28,53775.71,53552.5,53902.91,54318.97,53900.97,23795.36,24121.87,23917.18,24127.48,24156.33,23722.9,4246883398,3986295787,3921480150,92015845,91814182,87083533,6941628350,6503289681,6423133488
CONNECTICUT,CT ,09,1593,1486,1322,1240,1318,1103,44,32,41,40,41,39,20112,20582,21533,22138,22921,22834,5398,5249,4943,4980,5037,5052,12202,11124,10335,9695,9327,8775,2181,2034,2022,2063,2054,2100,93,101,88,94,113,89,19910,19462,19523,19433,19669,19458,21713,21146,20761,20817,21142,20534,11.82,11.89,11.67,12.23,11.96,12.36,43004.35,43104.24,44006.87,41685.78,42580.2,42385.85,15861.09,15778.56,15927.39,14978.66,15265.91,15363.44,4369291818,4171719825,4072311697,348756508,344903462,344895325,6354832899,6039027357,5889592852
DELAWARE,DE ,10,469,448,393,269,243,338,13,13,14,15,13,6,4309,4393,4314,4465,4598,4326,3373,2992,3075,2941,2833,2824,1987,1866,1702,1498,1601,1492,449,468,437,437,409,401,51,38,47,66,56,44,5312,5133,5040,4913,4913,4677,5339,5085,4942,4778,4840,4754,14.77,14.31,14.16,14.04,14.02,14.36,9626.65,9909.33,9991.22,9965.44,9849.93,9747,4845.61,4943.65,5030.41,4969.37,4926.96,4825,860633197,799713748,803767357,19815791,20361420,20186436,1331740137,1225221116,1223668586
DISTRICT OF COLUMBIA,DC ,11,99,86,83,60,52,56,1,1,1,3,4,9,416,362,398,370,333,336,3005,2604,2553,2558,2677,2775,973,831,744,629,677,723,67,57,58,51,77,65,5,6,5,5,16,5,2297,1986,2036,1920,1962,2002,2269,1961,1806,1756,1874,1967,10.95,11.13,11.3,11.36,11.71,12.13,8607.13,8335.22,8052.21,7828.4,7678.3,7409.22,3355.75,3013.1,3113.42,2869.73,2810.11,2712.49,863249094,799166062,761332860,50546592,60238495,61010119,1498720348,1400195429,1319854215
FLORIDA,FL ,12,7606,7040,6698,6562,6574,6134,402,399,359,343,261,251,74863,75293,74913,76329,76695,77048,46471,45702,43553,43310,43911,45140,81720,78224,73296,70587,69347,67272,6894,6662,6620,6496,6458,6296,473,506,447,560,627,667,107704,105356,101447,100704,99870,100169,110725,108470,104439,103483,104003,102639,18.34,18.44,18.31,17.72,17.3,17.22,155946.02,155799.65,156787.43,159865.9,161413.31,166002.1,62544.17,62687.11,62874.37,63998.05,64895.63,65871.9,10826569258,10289504342,10287381152,229798,611460,611460,17174954350,16140499404,16064915226
