"Table 219.46. Public high school 4-year adjusted cohort graduation rate (ACGR), by selected student characteristics and state or jurisdiction: School years 2011-12 through 2021-22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State or jurisdiction,"Total, ACGR for all students ",,,,,,,,,,,,,,,,"ACGR for students with selected characteristics,\1\ 2020-21",,,,,,,,,,,,,,,"ACGR for students with selected characteristics,\1\ 2021-22",,,,,,,,,,,,,,
,"2011-
12",,"2012-
13",,"2013- 
14","2014-
15","2015-
16","2016-
17","2017-
18",,"2019-
20",,"2020-
21",,"2021-
22",,Race/ethnicity,,,,,,,,,"Students with disabil-
ities\2\",English learner\3\,,"Economi-
cally disadvan-
taged\4\",Homeless enrolled,Foster care,Race/ethnicity,,,,,,,,,"Students with disabil-
ities\2\",English learner\3\,,"Economi-
cally disadvan-
taged\4\",Homeless enrolled,Foster care
,,,,,,,,,,,,,,,,,"American
Indian/
Alaska
Native",,Asian/Pacific Islander\5\,,,Black,Hispanic,White,Two or more races,,,,,,,"American
Indian/
Alaska
Native",,Asian/Pacific Islander\5\,,,Black,Hispanic,White,Two or more races,,,,,,
,,,,,,,,,,"2018-
19",,,,,,,,,Total,Asian,Pacific Islander,,,,,,,,,,,,,Total,Asian,Pacific Islander,,,,,,,,,,
1,2,,3,,4,5,6,7,8,9,,10,,11,12,,13,,14,15,16,17,18,19,20,21,22,,23,24,25,26,,27,28,29,30,31,32,33,34,35,,36,37,38
   United States ,80,\6\,81,\7\,82,83,84,85,85,86,87,\8\,86,\9\,87,\10\,74,\11\,93,---,---,81,82,90,---,71,71,,81,---,---,74,\11\,94,---,---,81,83,90,---,71,72,,81,68,---
Alabama\12\ ,75,,80,,86,89,87,89,90,92,91,,91,,88,,95,,96,96,>=90,88,88,92,93,73,75,,87,77,69,88,,94,95,87,85,84,90,90,74,68,,83,76,64
Alaska ,70,,72,,71,76,76,78,79,80,79,,78,,78,,66,,84,87,77,76,77,84,73,59,69,,70,51,45,64,,84,87,78,74,77,84,75,61,65,,70,59,53
Arizona ,76,,75,,76,77,80,78,79,78,77,,76,,77,,64,,90,91,78,71,72,83,72,66,55,,72,42,41,65,,89,91,77,72,73,83,78,67,60,,73,48,39
Arkansas ,84,,85,,87,85,87,88,89,88,89,,88,,88,,85,,89,94,78,85,88,90,86,83,84,,87,76,64,84,,88,95,74,85,87,90,86,83,82,,85,78,64
California ,79,,80,,81,82,83,83,83,85,84,,84,,87,,73,,94,94,82,73,81,88,83,69,67,,80,68,56,79,,95,95,85,79,85,91,87,74,72,,85,73,61
Colorado ,75,,77,,77,77,79,79,81,81,82,,82,,82,,64,,90,91,77,76,74,87,82,66,68,,71,54,31,65,,90,93,61,77,75,87,81,68,69,,72,55,30
