"Table 236.65. Current expenditures per pupil in fall enrollment in public elementary and secondary schools, by state or jurisdiction: Selected school years, 1969-70 through 2020-21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State or jurisdiction,Unadjusted dollars\1\,Unadjusted dollars\1\,Unadjusted dollars\1\,Unadjusted dollars\1\,Unadjusted dollars\1\,Unadjusted dollars\1\,Unadjusted dollars\1\,Unadjusted dollars\1\,Unadjusted dollars\1\,Unadjusted dollars\1\,Unadjusted dollars\1\,Unadjusted dollars\1\,Unadjusted dollars\1\,Unadjusted dollars\1\,Unadjusted dollars\1\,Unadjusted dollars\1\,Unadjusted dollars\1\,Unadjusted dollars\1\,Constant 2022-23 dollars\2\,Constant 2022-23 dollars\2\,Constant 2022-23 dollars\2\,Constant 2022-23 dollars\2\,Constant 2022-23 dollars\2\,Constant 2022-23 dollars\2\,Constant 2022-23 dollars\2\,Constant 2022-23 dollars\2\,Constant 2022-23 dollars\2\,Constant 2022-23 dollars\2\,Constant 2022-23 dollars\2\,Constant 2022-23 dollars\2\,Constant 2022-23 dollars\2\,Constant 2022-23 dollars\2\,Constant 2022-23 dollars\2\,Constant 2022-23 dollars\2\,Constant 2022-23 dollars\2\,Constant 2022-23 dollars\2\
State or jurisdiction,1969-70,1979-80,1989-90,1999-2000,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2018-19,2019-20\3\,2019-20\3\,2020-21\3\,2020-21\3\,1969-70,1979-80,1989-90,1999-2000,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2018-19,2019-20\3\,2019-20\3\,2020-21\3\,2020-21\3\
1,2,3,4,5,6,7,8,9,10,11,12,13,14,14,15,15,16,16,17,18,19,20,21,22,23,24,25,26,27,28,29,29,30,30,31,31
   United States,$751,"$2,088","$4,643","$6,912","$10,663","$10,648","$10,771","$11,066","$11,445","$11,842","$12,260","$12,649","$13,189",,"$13,496",,"$14,295",,"$5,960","$8,062","$10,958","$12,236","$14,453","$14,022","$13,952","$14,114","$14,491","$14,894","$15,142","$15,277","$15,606",,"$15,723",,"$16,280",
Alabama,512,"1,520","3,144","5,638","8,726","8,577","8,773","9,036","9,146","9,258","9,528","9,717","10,107",,"10,140",,"10,728",,"4,059","5,869","7,420","9,980","11,828","11,295","11,364","11,525","11,581","11,644","11,767","11,736","11,959",,"11,814",,"12,217",
Alaska,"1,059","4,267","7,577","8,806","16,663","17,475","18,217","18,466","20,191","17,510","17,838","17,726","18,393",,"18,313",,"19,540",,"8,403","16,472","17,884","15,589","22,587","23,014","23,598","23,552","25,566","22,023","22,030","21,409","21,764",,"21,336",,"22,253",
Arizona,674,"1,865","3,717","5,030","7,782","7,383","7,495","7,427","7,590","7,772","8,053","8,373","8,773",,"8,694",,"9,571",,"5,350","7,199","8,773","8,904","10,548","9,723","9,708","9,472","9,611","9,775","9,946","10,112","10,381",,"10,129",,"10,899",
Arkansas,511,"1,472","3,229","5,277","9,496","9,536","9,538","9,752","9,805","9,900","10,004","10,168","10,412",,"10,369",,"11,239",,"4,053","5,682","7,621","9,342","12,872","12,558","12,356","12,438","12,415","12,452","12,355","12,281","12,320",,"12,080",,"12,799",
California,833,"2,227","4,502","6,314","9,146","9,220","9,258","9,671","10,449","11,420","12,151","12,664","13,641",\4\,"13,841",\4\,"14,697",\4\,"6,611","8,595","10,627","11,178","12,398","12,142","11,993","12,335","13,230","14,364","15,007","15,296","16,141",\4\,"16,126",\4\,"16,737",\4\
Colorado,686,"2,258","4,357","6,215","8,786","8,594","8,693","9,036","9,292","9,619","9,849","10,238","11,072",,"11,647",,"12,233",,"5,443","8,716","10,283","11,002","11,910","11,318","11,261","11,525","11,765","12,098","12,164","12,365","13,101",,"13,569",,"13,931",
Connecticut,911,"2,167","7,463","9,753","16,224","16,855","17,321","18,401","19,020","19,615","19,929","20,147","21,140",,"20,889",,"22,216",,"7,225","8,365","17,614","17,264","21,991","22,197","22,437","23,469","24,083","24,670","24,613","24,334","25,014",,"24,337",,"25,300",
Delaware,833,"2,587","5,326","8,310","12,467","13,580","13,653","13,793","13,882","14,397","14,892","15,282","15,929",,"16,777",,"16,589",,"6,612","9,985","12,571","14,710","16,899","17,884","17,685","17,592","17,577","18,108","18,392","18,457","18,848",,"19,546",,"18,892",
District of Columbia,947,"2,811","7,872","10,107","20,793","19,847","20,451","20,537","20,610","21,161","22,561","23,161","22,984",,"23,754",,"25,113",,"7,512","10,853","18,579","17,891","28,185","26,136","26,491","26,194","26,097","26,615","27,863","27,974","27,197",,"27,675",,"28,600",
Florida,683,"1,834","4,597","5,831","9,030","8,520","8,623","8,955","9,113","9,176","9,374","9,663","9,986",,"10,305",,"10,823",,"5,416","7,080","10,850","10,322","12,241","11,220","11,170","11,421","11,539","11,541","11,577","11,671","11,817",,"12,005",,"12,326",
Georgia,539,"1,491","4,000","6,437","9,259","9,272","9,121","9,236","9,476","9,835","10,274","10,760","11,203",,"11,686",,"12,108",,"4,275","5,756","9,440","11,395","12,551","12,211","11,816","11,780","11,999","12,370","12,688","12,996","13,257",,"13,615",,"13,789",
Hawaii,792,"2,086","4,130","6,530","11,924","11,973","11,790","12,400","12,855","13,748","14,322","15,242","16,132",,"16,564",,"16,550",,"6,283","8,054","9,748","11,560","16,163","15,767","15,272","15,815","16,277","17,292","17,687","18,409","19,088",,"19,298",,"18,848",
Idaho,573,"1,548","2,921","5,315","6,821","6,626","6,761","6,577","6,929","7,211","7,554","7,846","8,043",,"8,337",,"9,054",,"4,548","5,977","6,894","9,408","9,246","8,726","8,758","8,389","8,774","9,070","9,330","9,476","9,517",,"9,713",,"10,311",
Illinois,816,"2,241","4,521","7,133","11,742","12,011","12,443","13,213","13,935","14,327","15,517","15,912","16,281",,"17,483",,"18,527",,"6,471","8,652","10,670","12,627","15,917","15,818","16,119","16,852","17,645","18,020","19,164","19,219","19,264",,"20,368",,"21,099",
Indiana,661,"1,708","4,270","7,192","9,251","9,588","9,421","9,396","9,529","9,688","9,823","10,033","10,252",,"10,798",,"11,411",,"5,245","6,594","10,079","12,732","12,540","12,626","12,204","11,984","12,066","12,185","12,132","12,118","12,131",,"12,580",,"12,996",
Iowa,798,"2,164","4,190","6,564","9,795","10,027","10,291","10,647","10,938","11,148","11,456","11,724","11,933",,"11,986",,"12,714",,"6,332","8,354","9,889","11,620","13,277","13,204","13,331","13,579","13,849","14,022","14,149","14,160","14,120",,"13,964",,"14,480",
Kansas,699,"1,963","4,290","6,294","9,802","10,021","10,011","10,240","10,329","10,216","10,428","11,095","11,328",,"11,960",,"12,788",,"5,544","7,577","10,125","11,141","13,287","13,197","12,968","13,060","13,079","12,849","12,878","13,400","13,404",,"13,934",,"14,563",
Kentucky,502,"1,557","3,384","5,921","9,228","9,327","9,274","9,411","9,560","9,831","10,083","11,081","11,280",,"11,370",,"12,016",,"3,983","6,011","7,986","10,481","12,508","12,283","12,013","12,004","12,105","12,365","12,453","13,384","13,348",,"13,247",,"13,684",
Louisiana,589,"1,629","3,625","5,804","10,799","10,726","10,539","10,853","11,106","11,169","11,378","11,636","11,920",,"12,009",,"13,183",,"4,676","6,288","8,555","10,274","14,638","14,126","13,652","13,842","14,062","14,047","14,052","14,054","14,105",,"13,991",,"15,013",
Maine,649,"1,692","4,903","7,667","12,576","12,335","12,694","13,267","13,976","14,202","14,633","15,069","15,686",,"16,067",,"18,385",,"5,150","6,532","11,573","13,573","17,047","16,244","16,443","16,921","17,697","17,863","18,072","18,201","18,560",,"18,719",,"20,938",
Maryland,809,"2,293","5,573","7,731","13,946","13,875","14,086","14,217","14,431","14,523","14,933","15,155","15,576",,"15,926",,"16,873",,"6,420","8,850","13,154","13,686","18,905","18,273","18,246","18,133","18,273","18,266","18,442","18,304","18,430",,"18,554",,"19,215",
Massachusetts,791,"2,548","5,766","8,816","14,612","14,844","15,321","15,886","16,450","16,986","17,718","18,328","19,196",,"19,747",,"21,529",,"6,273","9,835","13,609","15,606","19,806","19,548","19,846","20,262","20,829","21,364","21,882","22,136","22,714",,"23,007",,"24,518",
Michigan,841,"2,495","5,090","8,110","10,577","10,477","10,515","10,649","10,956","11,051","11,256","11,688","12,052",,"12,323",,"13,351",,"6,676","9,633","12,013","14,356","14,337","13,797","13,621","13,582","13,872","13,899","13,901","14,117","14,261",,"14,357",,"15,204",
Minnesota,855,"2,296","4,698","7,190","10,674","10,781","11,065","11,427","11,924","12,364","12,635","12,910","13,297",,"13,502",,"14,213",,"6,782","8,865","11,088","12,728","14,468","14,197","14,333","14,574","15,099","15,550","15,605","15,592","15,734",,"15,730",,"16,186",
Mississippi,457,"1,568","2,934","5,014","7,926","8,097","8,117","8,265","8,445","8,692","8,755","8,909","9,253",,"9,614",,"10,060",,"3,624","6,054","6,924","8,875","10,744","10,664","10,514","10,541","10,693","10,933","10,812","10,760","10,949",,"11,201",,"11,457",
Missouri,596,"1,724","4,071","6,187","9,461","9,514","9,702","9,938","10,231","10,385","10,684","11,034","11,349",,"11,397",,"11,999",,"4,728","6,655","9,607","10,952","12,824","12,529","12,568","12,675","12,955","13,061","13,195","13,327","13,429",,"13,277",,"13,665",
Montana,728,"2,264","4,240","6,314","10,719","10,569","10,662","10,941","11,078","11,374","11,538","11,512","11,984",,"12,065",,"13,262",,"5,773","8,738","10,007","11,177","14,530","13,919","13,811","13,955","14,027","14,305","14,250","13,904","14,180",,"14,056",,"15,103",
Nebraska,700,"2,025","4,553","6,683","11,704","11,492","11,743","11,877","12,174","12,379","12,662","12,813","12,746",,"12,829",,"13,723",,"5,551","7,815","10,745","11,831","15,865","15,134","15,211","15,149","15,414","15,569","15,637","15,475","15,082",,"14,946",,"15,628",
Nevada,706,"1,908","3,816","5,760","8,411","8,130","8,026","8,275","8,451","8,753","9,120","9,040","9,280",,"9,548",,"10,073",,"5,599","7,366","9,006","10,196","11,402","10,707","10,397","10,554","10,700","11,010","11,263","10,919","10,981",,"11,123",,"11,471",
New Hampshire,666,"1,732","4,786","6,860","13,548","13,774","14,050","14,601","14,969","15,535","15,958","16,588","17,457",,"17,825",,"19,396",,"5,284","6,686","11,295","12,144","18,364","18,139","18,200","18,622","18,953","19,538","19,709","20,035","20,656",,"20,767",,"22,089",
