Year,State,Total_SAT_Takers,Total_Participation_Rate,Mean_Total_Score,Mean_ERW_Score,Mean_Math_Score,Race_Asian_N,Race_Asian_Pct,Race_Asian_Mean_Tot,Race_Asian_Mean_ERW,Race_Asian_Mean_Math,Race_Asian_Met_Both,Race_Asian_Met_ERW,Race_Asian_Met_Math,Race_Black_N,Race_Black_Pct,Race_Black_Mean_Tot,Race_Black_Mean_ERW,Race_Black_Mean_Math,Race_Black_Met_Both,Race_Black_Met_ERW,Race_Black_Met_Math,Race_Hispanic_N,Race_Hispanic_Pct,Race_Hispanic_Mean_Tot,Race_Hispanic_Mean_ERW,Race_Hispanic_Mean_Math,Race_Hispanic_Met_Both,Race_Hispanic_Met_ERW,Race_Hispanic_Met_Math,Race_White_N,Race_White_Pct,Race_White_Mean_Tot,Race_White_Mean_ERW,Race_White_Mean_Math,Race_White_Met_Both,Race_White_Met_ERW,Race_White_Met_Math,Race_Multi_N,Race_Multi_Pct,Race_Multi_Mean_Tot,Race_Multi_Mean_ERW,Race_Multi_Mean_Math,Race_Multi_Met_Both,Race_Multi_Met_ERW,Race_Multi_Met_Math,Race_NoResp_N,Race_NoResp_Pct,Race_NoResp_Mean_Tot,Race_NoResp_Mean_ERW,Race_NoResp_Mean_Math,Race_NoResp_Met_Both,Race_NoResp_Met_ERW,Race_NoResp_Met_Math,Edu_NoHS_N,Edu_NoHS_Pct,Edu_NoHS_Mean_Tot,Edu_NoHS_Mean_ERW,Edu_NoHS_Mean_Math,Edu_NoHS_Met_Both,Edu_NoHS_Met_ERW,Edu_NoHS_Met_Math,Edu_HS_N,Edu_HS_Pct,Edu_HS_Mean_Tot,Edu_HS_Mean_ERW,Edu_HS_Mean_Math,Edu_HS_Met_Both,Edu_HS_Met_ERW,Edu_HS_Met_Math,Edu_Assoc_N,Edu_Assoc_Pct,Edu_Assoc_Mean_Tot,Edu_Assoc_Mean_ERW,Edu_Assoc_Mean_Math,Edu_Assoc_Met_Both,Edu_Assoc_Met_ERW,Edu_Assoc_Met_Math,Edu_Bach_N,Edu_Bach_Pct,Edu_Bach_Mean_Tot,Edu_Bach_Mean_ERW,Edu_Bach_Mean_Math,Edu_Bach_Met_Both,Edu_Bach_Met_ERW,Edu_Bach_Met_Math,Edu_Grad_N,Edu_Grad_Pct,Edu_Grad_Mean_Tot,Edu_Grad_Mean_ERW,Edu_Grad_Mean_Math,Edu_Grad_Met_Both,Edu_Grad_Met_ERW,Edu_Grad_Met_Math,Edu_NoResp_N,Edu_NoResp_Pct,Edu_NoResp_Mean_Tot,Edu_NoResp_Mean_ERW,Edu_NoResp_Mean_Math,Edu_NoResp_Met_Both,Edu_NoResp_Met_ERW,Edu_NoResp_Met_Math,Gen_NoResp_N,Gen_NoResp_Pct,Gen_NoResp_Mean_Tot,Gen_NoResp_Mean_ERW,Gen_NoResp_Mean_Math,Gen_NoResp_Met_Both,Gen_NoResp_Met_ERW,Gen_NoResp_Met_Math,SAT_75th_Total,SAT_75th_ERW,SAT_75th_Math,SAT_75th_Reading,SAT_75th_Writing,SAT_75th_Math_Sub,SAT_75th_Hist_Soc,SAT_75th_Science,SAT_50th_Total,SAT_50th_ERW,SAT_50th_Math,SAT_50th_Reading,SAT_50th_Writing,SAT_50th_Math_Sub,SAT_50th_Hist_Soc,SAT_50th_Science,SAT_25th_Total,SAT_25th_ERW,SAT_25th_Math,SAT_25th_Reading,SAT_25th_Writing,SAT_25th_Math_Sub,SAT_25th_Hist_Soc,SAT_25th_Science,Race_AmInd_N,Race_AmInd_Pct,Race_AmInd_Mean_Tot,Race_AmInd_Mean_ERW,Race_AmInd_Mean_Math,Race_AmInd_Met_Both,Race_AmInd_Met_ERW,Race_AmInd_Met_Math,Race_NatHaw_N,Race_NatHaw_Pct,Race_NatHaw_Mean_Tot,Race_NatHaw_Mean_ERW,Race_NatHaw_Mean_Math,Race_NatHaw_Met_Both,Race_NatHaw_Met_ERW,Race_NatHaw_Met_Math,SAT_IQR_Spread
2019,Alabama,3240.0,0.07,1143,583,560,282.0,0.09,1302.0,628.0,674.0,0.83,0.9,0.88,758.0,0.23,982.0,507.0,476.0,0.24,0.59,0.25,158.0,0.05,1117.0,573.0,544.0,0.57,0.84,0.58,1838.0,0.57,1191.0,610.0,581.0,0.69,0.93,0.7,136.0,0.04,1145.0,589.0,556.0,0.56,0.87,0.56,25.0,0.01,1040.0,535.0,505.0,0.32,0.64,0.44,463.0,0.04,872.0,445.0,427.0,0.15,0.42,0.16,2441.0,0.22,945.0,490.0,455.0,0.26,0.61,0.27,805.0,0.07,973.0,506.0,467.0,0.31,0.69,0.31,4230.0,0.37,1074.0,554.0,520.0,0.54,0.84,0.55,2884.0,0.26,1146.0,589.0,557.0,0.68,0.91,0.68,458.0,0.04,833.0,428.0,405.0,0.1,0.36,0.1,390.0,0.03,830.0,426.0,404.0,0.11,0.33,0.11,1290,660,640,33,33,32.0,33,33,1130,580,550,29,30,27.5,29,29,990,510,480,25,26,24.0,25,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300
2019,Alaska,3212.0,0.41,1097,556,541,314.0,0.1,1065.0,526.0,538.0,0.48,0.67,0.54,90.0,0.03,955.0,486.0,469.0,0.21,0.56,0.22,293.0,0.09,1052.0,534.0,518.0,0.4,0.77,0.41,1763.0,0.55,1139.0,581.0,559.0,0.61,0.87,0.63,434.0,0.14,1095.0,551.0,544.0,0.54,0.75,0.56,51.0,0.02,1010.0,514.0,496.0,0.35,0.63,0.35,58.0,0.03,910.0,458.0,452.0,0.19,0.55,0.19,527.0,0.27,997.0,506.0,491.0,0.36,0.71,0.38,148.0,0.07,1031.0,526.0,505.0,0.45,0.78,0.49,648.0,0.33,1092.0,557.0,535.0,0.59,0.89,0.61,466.0,0.23,1150.0,586.0,564.0,0.71,0.92,0.73,106.0,0.05,896.0,443.0,453.0,0.18,0.39,0.23,91.0,0.05,893.0,444.0,450.0,0.15,0.42,0.19,1220,620,600,31,31,30.0,31,32,1090,560,530,28,27,26.5,28,28,970,490,480,25,24,24.0,25,25,163.0,0.05,951.0,475.0,477.0,0.26,0.48,0.28,40.0,0.01,974.0,483.0,491.0,0.3,0.53,0.3,250
2019,Arizona,21472.0,0.31,472,1134,569,1646.0,0.08,1262.0,613.0,649.0,0.83,0.92,0.87,854.0,0.04,1027.0,519.0,507.0,0.38,0.64,0.41,6708.0,0.31,1062.0,535.0,527.0,0.47,0.73,0.49,10353.0,0.48,1176.0,591.0,585.0,0.72,0.91,0.74,1048.0,0.05,1160.0,584.0,576.0,0.66,0.88,0.68,426.0,0.02,954.0,478.0,476.0,0.27,0.49,0.3,2721.0,0.1,889.0,446.0,442.0,0.18,0.43,0.2,7760.0,0.28,970.0,492.0,478.0,0.34,0.64,0.36,1990.0,0.07,1006.0,511.0,495.0,0.42,0.73,0.43,8163.0,0.3,1090.0,552.0,538.0,0.61,0.85,0.62,5702.0,0.21,1154.0,583.0,570.0,0.72,0.9,0.73,1171.0,0.04,876.0,443.0,433.0,0.18,0.42,0.19,938.0,0.03,874.0,442.0,433.0,0.17,0.41,0.19,1260,640,630,32,32,31.5,32,32,1130,570,560,29,28,28.0,29,29,1000,500,500,25,25,25.0,25,25,188.0,0.01,999.0,498.0,501.0,0.36,0.6,0.4,55.0,0.0,1107.0,555.0,552.0,0.55,0.8,0.56,260
2019,Arkansas,1790.0,0.06,790,1141,582,131.0,0.07,1254.0,617.0,638.0,0.78,0.89,0.82,159.0,0.09,1023.0,528.0,495.0,0.35,0.7,0.4,228.0,0.13,1047.0,534.0,513.0,0.41,0.69,0.42,1063.0,0.59,1185.0,606.0,579.0,0.68,0.88,0.69,85.0,0.05,1144.0,578.0,566.0,0.65,0.81,0.65,77.0,0.04,984.0,511.0,473.0,0.27,0.57,0.29,227.0,0.04,982.0,500.0,483.0,0.33,0.68,0.34,1199.0,0.23,1042.0,538.0,503.0,0.47,0.81,0.48,392.0,0.08,1063.0,549.0,513.0,0.51,0.82,0.52,1868.0,0.36,1125.0,579.0,545.0,0.66,0.92,0.67,1379.0,0.27,1184.0,611.0,573.0,0.78,0.96,0.79,63.0,0.01,999.0,515.0,483.0,0.44,0.7,0.44,59.0,0.01,995.0,513.0,482.0,0.37,0.68,0.41,1300,660,640,33,33,32.0,33,33,1150,590,550,29,30,27.5,29,30,990,500,480,25,25,24.0,25,25,12.0,0.01,1012.0,522.0,490.0,0.33,0.58,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310
2019,California,272892.0,0.63,892,1065,534,46827.0,0.17,1214.0,591.0,623.0,0.74,0.85,0.78,13186.0,0.05,948.0,485.0,463.0,0.23,0.51,0.25,132151.0,0.48,976.0,494.0,482.0,0.28,0.55,0.31,59167.0,0.22,1168.0,588.0,580.0,0.68,0.88,0.7,12319.0,0.05,1160.0,583.0,577.0,0.65,0.85,0.66,6817.0,0.02,895.0,453.0,441.0,0.18,0.34,0.2,47806.0,0.18,863.0,435.0,428.0,0.14,0.39,0.15,81009.0,0.31,930.0,471.0,458.0,0.25,0.56,0.27,14555.0,0.06,972.0,494.0,478.0,0.34,0.66,0.35,58875.0,0.22,1081.0,546.0,535.0,0.57,0.82,0.58,42999.0,0.16,1163.0,586.0,577.0,0.7,0.88,0.71,12996.0,0.05,839.0,423.0,416.0,0.14,0.33,0.16,9718.0,0.04,824.0,415.0,409.0,0.12,0.29,0.14,1210,610,610,31,31,30.5,30,31,1050,530,520,27,26,26.0,27,27,900,450,440,23,22,22.0,23,23,899.0,0.0,950.0,481.0,469.0,0.25,0.49,0.27,1211.0,0.0,1003.0,502.0,501.0,0.36,0.58,0.38,310
2019,Colorado,59494.0,1.0,494,1024,518,2151.0,0.04,1131.0,555.0,577.0,0.6,0.73,0.66,2433.0,0.04,917.0,467.0,450.0,0.19,0.42,0.21,18930.0,0.32,929.0,470.0,458.0,0.21,0.43,0.23,31744.0,0.53,1084.0,549.0,535.0,0.51,0.75,0.53,2410.0,0.04,1071.0,542.0,528.0,0.47,0.71,0.49,11725.0,0.2,926.0,471.0,456.0,0.22,0.43,0.24,1227.0,0.06,917.0,461.0,456.0,0.23,0.51,0.26,3359.0,0.17,1003.0,509.0,494.0,0.41,0.72,0.43,915.0,0.05,1042.0,528.0,514.0,0.5,0.79,0.51,7572.0,0.38,1126.0,571.0,555.0,0.69,0.91,0.7,5729.0,0.29,1181.0,598.0,583.0,0.77,0.94,0.78,708.0,0.04,938.0,477.0,461.0,0.28,0.56,0.29,582.0,0.03,940.0,478.0,462.0,0.28,0.56,0.29,1170,600,580,30,30,29.0,30,30,1010,510,500,26,25,25.0,26,26,860,430,430,22,21,21.5,22,23,607.0,0.01,898.0,453.0,445.0,0.15,0.36,0.18,143.0,0.0,950.0,483.0,468.0,0.26,0.45,0.27,310
2019,Connecticut,44029.0,1.0,1046,529,516,2562.0,0.06,1217.0,590.0,627.0,0.72,0.83,0.76,4905.0,0.11,896.0,459.0,436.0,0.14,0.39,0.15,9540.0,0.22,924.0,471.0,453.0,0.21,0.44,0.22,24579.0,0.56,1105.0,559.0,546.0,0.55,0.79,0.56,1504.0,0.03,1072.0,548.0,524.0,0.45,0.73,0.46,2575.0,0.06,862.0,436.0,427.0,0.14,0.29,0.15,2216.0,0.06,837.0,423.0,414.0,0.11,0.33,0.12,10373.0,0.27,912.0,466.0,446.0,0.21,0.53,0.22,2356.0,0.06,956.0,489.0,467.0,0.28,0.64,0.29,11445.0,0.29,1053.0,537.0,516.0,0.5,0.81,0.51,9281.0,0.24,1129.0,574.0,555.0,0.65,0.87,0.66,1964.0,0.05,885.0,450.0,435.0,0.22,0.44,0.23,1541.0,0.04,872.0,444.0,428.0,0.2,0.42,0.21,1200,610,590,31,31,29.5,30,31,1040,530,510,27,26,25.5,27,27,870,440,420,22,22,21.0,22,22,120.0,0.0,965.0,487.0,478.0,0.31,0.52,0.32,30.0,0.0,929.0,471.0,458.0,0.23,0.43,0.23,330
2019,Delaware,10990.0,1.0,990,985,499,475.0,0.04,1197.0,586.0,611.0,0.69,0.81,0.71,2434.0,0.22,889.0,453.0,436.0,0.12,0.36,0.13,1678.0,0.15,904.0,459.0,446.0,0.17,0.39,0.19,4926.0,0.45,1065.0,541.0,524.0,0.46,0.73,0.47,676.0,0.06,980.0,498.0,482.0,0.29,0.56,0.31,458.0,0.04,814.0,413.0,401.0,0.08,0.21,0.09,338.0,0.05,863.0,433.0,429.0,0.15,0.4,0.17,1754.0,0.28,907.0,462.0,446.0,0.2,0.5,0.21,448.0,0.07,951.0,485.0,466.0,0.27,0.63,0.28,2192.0,0.35,1034.0,528.0,505.0,0.46,0.77,0.47,1446.0,0.23,1105.0,563.0,542.0,0.59,0.84,0.6,61.0,0.01,875.0,442.0,434.0,0.23,0.33,0.26,41.0,0.01,886.0,456.0,430.0,0.27,0.34,0.29,1120,570,550,29,29,27.5,29,30,970,490,480,25,24,24.0,25,25,830,420,400,21,20,20.0,21,21,83.0,0.01,847.0,428.0,419.0,0.1,0.28,0.1,15.0,0.0,819.0,415.0,404.0,0.07,0.13,0.07,290
2019,District,4980.0,0.94,980,975,495,143.0,0.03,1214.0,600.0,613.0,0.66,0.8,0.69,2423.0,0.49,890.0,452.0,437.0,0.17,0.34,0.19,715.0,0.14,977.0,494.0,483.0,0.31,0.49,0.32,887.0,0.18,1276.0,646.0,630.0,0.82,0.92,0.82,170.0,0.03,1104.0,562.0,541.0,0.49,0.69,0.5,694.0,0.14,791.0,402.0,390.0,0.07,0.14,0.1,291.0,0.06,811.0,404.0,407.0,0.09,0.25,0.1,991.0,0.21,851.0,426.0,425.0,0.15,0.36,0.16,134.0,0.03,892.0,454.0,438.0,0.16,0.44,0.18,709.0,0.15,1053.0,537.0,516.0,0.5,0.76,0.51,1407.0,0.29,1186.0,606.0,580.0,0.74,0.91,0.74,1004.0,0.21,819.0,411.0,407.0,0.16,0.28,0.16,834.0,0.17,800.0,402.0,398.0,0.12,0.25,0.13,1160,600,570,30,30,28.5,29,30,910,460,450,23,23,22.5,23,23,770,390,370,20,19,18.5,20,19,27.0,0.01,811.0,420.0,392.0,0.11,0.19,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390
2019,Florida,190853.0,1.0,853,999,516,6967.0,0.04,1152.0,570.0,582.0,0.63,0.79,0.67,36999.0,0.19,901.0,470.0,432.0,0.15,0.42,0.16,64722.0,0.34,986.0,511.0,476.0,0.29,0.6,0.3,64647.0,0.34,1070.0,550.0,520.0,0.47,0.76,0.48,6788.0,0.04,1038.0,535.0,502.0,0.38,0.71,0.39,9596.0,0.05,841.0,444.0,397.0,0.08,0.3,0.08,6614.0,0.07,860.0,436.0,424.0,0.14,0.39,0.15,27352.0,0.29,938.0,481.0,457.0,0.26,0.58,0.28,7319.0,0.08,985.0,506.0,479.0,0.35,0.7,0.36,27768.0,0.3,1056.0,541.0,515.0,0.51,0.8,0.52,19090.0,0.2,1105.0,565.0,540.0,0.6,0.83,0.61,3121.0,0.03,835.0,424.0,411.0,0.12,0.34,0.13,2358.0,0.03,825.0,419.0,406.0,0.12,0.32,0.12,1140,590,560,30,29,28.0,29,30,980,510,480,26,25,24.0,25,25,840,440,400,23,21,20.0,22,22,1068.0,0.01,896.0,464.0,432.0,0.13,0.38,0.15,345.0,0.0,904.0,470.0,434.0,0.15,0.43,0.16,300
