Year,State,Total_SAT_Takers,Total_Participation_Rate,Mean_Total_Score,Mean_ERW_Score,Mean_Math_Score,Race_AmInd_N,Race_AmInd_Pct,Race_AmInd_Mean_Tot,Race_AmInd_Mean_ERW,Race_AmInd_Mean_Math,Race_AmInd_Met_Both,Race_AmInd_Met_ERW,Race_AmInd_Met_Math,Race_Asian_N,Race_Asian_Pct,Race_Asian_Mean_Tot,Race_Asian_Mean_ERW,Race_Asian_Mean_Math,Race_Asian_Met_Both,Race_Asian_Met_ERW,Race_Asian_Met_Math,Race_Black_N,Race_Black_Pct,Race_Black_Mean_Tot,Race_Black_Mean_ERW,Race_Black_Mean_Math,Race_Black_Met_Both,Race_Black_Met_ERW,Race_Black_Met_Math,Race_Hispanic_N,Race_Hispanic_Pct,Race_Hispanic_Mean_Tot,Race_Hispanic_Mean_ERW,Race_Hispanic_Mean_Math,Race_Hispanic_Met_Both,Race_Hispanic_Met_ERW,Race_Hispanic_Met_Math,Race_White_N,Race_White_Pct,Race_White_Mean_Tot,Race_White_Mean_ERW,Race_White_Mean_Math,Race_White_Met_Both,Race_White_Met_ERW,Race_White_Met_Math,Race_Multi_N,Race_Multi_Pct,Race_Multi_Mean_Tot,Race_Multi_Mean_ERW,Race_Multi_Mean_Math,Race_Multi_Met_Both,Race_Multi_Met_ERW,Race_Multi_Met_Math,Race_NoResp_N,Race_NoResp_Pct,Race_NoResp_Mean_Tot,Race_NoResp_Mean_ERW,Race_NoResp_Mean_Math,Race_NoResp_Met_Both,Race_NoResp_Met_ERW,Race_NoResp_Met_Math,Gen_Female_N,Gen_Female_Pct,Gen_Female_Mean_Tot,Gen_Female_Mean_ERW,Gen_Female_Mean_Math,Gen_Female_Met_Both,Gen_Female_Met_ERW,Gen_Female_Met_Math,Gen_Male_N,Gen_Male_Pct,Gen_Male_Mean_Tot,Gen_Male_Mean_ERW,Gen_Male_Mean_Math,Gen_Male_Met_Both,Gen_Male_Met_ERW,Gen_Male_Met_Math,Gen_NoResp_N,Gen_NoResp_Pct,Gen_NoResp_Mean_Tot,Gen_NoResp_Mean_ERW,Gen_NoResp_Mean_Math,Gen_NoResp_Met_Both,Gen_NoResp_Met_ERW,Gen_NoResp_Met_Math,Edu_NoHS_N,Edu_NoHS_Pct,Edu_NoHS_Mean_Tot,Edu_NoHS_Mean_ERW,Edu_NoHS_Mean_Math,Edu_NoHS_Met_Both,Edu_NoHS_Met_ERW,Edu_NoHS_Met_Math,Edu_HS_N,Edu_HS_Pct,Edu_HS_Mean_Tot,Edu_HS_Mean_ERW,Edu_HS_Mean_Math,Edu_HS_Met_Both,Edu_HS_Met_ERW,Edu_HS_Met_Math,Edu_Assoc_N,Edu_Assoc_Pct,Edu_Assoc_Mean_Tot,Edu_Assoc_Mean_ERW,Edu_Assoc_Mean_Math,Edu_Assoc_Met_Both,Edu_Assoc_Met_ERW,Edu_Assoc_Met_Math,Edu_Bach_N,Edu_Bach_Pct,Edu_Bach_Mean_Tot,Edu_Bach_Mean_ERW,Edu_Bach_Mean_Math,Edu_Bach_Met_Both,Edu_Bach_Met_ERW,Edu_Bach_Met_Math,Edu_Grad_N,Edu_Grad_Pct,Edu_Grad_Mean_Tot,Edu_Grad_Mean_ERW,Edu_Grad_Mean_Math,Edu_Grad_Met_Both,Edu_Grad_Met_ERW,Edu_Grad_Met_Math,Edu_NoResp_N,Edu_NoResp_Pct,Edu_NoResp_Mean_Tot,Edu_NoResp_Mean_ERW,Edu_NoResp_Mean_Math,Edu_NoResp_Met_Both,Edu_NoResp_Met_ERW,Edu_NoResp_Met_Math,SAT_75th_Total,SAT_75th_ERW,SAT_75th_Math,SAT_75th_Reading,SAT_75th_Writing,SAT_75th_Math_Sub,SAT_75th_Hist_Soc,SAT_75th_Science,SAT_50th_Total,SAT_50th_ERW,SAT_50th_Math,SAT_50th_Reading,SAT_50th_Writing,SAT_50th_Math_Sub,SAT_50th_Hist_Soc,SAT_50th_Science,SAT_25th_Total,SAT_25th_ERW,SAT_25th_Math,SAT_25th_Reading,SAT_25th_Writing,SAT_25th_Math_Sub,SAT_25th_Hist_Soc,SAT_25th_Science,Race_NatHaw_N,Race_NatHaw_Pct,Race_NatHaw_Mean_Tot,Race_NatHaw_Mean_ERW,Race_NatHaw_Mean_Math,Race_NatHaw_Met_Both,Race_NatHaw_Met_ERW,Race_NatHaw_Met_Math,SAT_IQR_Spread
2020,Alabama,3201,0.07,1127,576,551,14,0,1019,534,485,0.29,0.79,0.29,261,0.08,1282,620,662,0.8,0.89,0.85,674,0.21,972,505,466,0.23,0.6,0.23,183,0.06,1091,560,531,0.48,0.79,0.51,1840,0.57,1169,600,570,0.67,0.92,0.68,137,0.04,1106,571,535,0.53,0.85,0.53,88,0.03,1097,553,544,0.47,0.65,0.5,1908,0.6,1111,574,537,0.52,0.84,0.53,1291,0.4,1150,579,571,0.63,0.82,0.65,596,0.06,882,452,431,0.18,0.42,0.18,315,0.03,905,462,443,0.21,0.48,0.21,2032,0.2,957,496,461,0.28,0.64,0.28,591,0.06,992,516,476,0.34,0.72,0.34,3670,0.37,1079,559,520,0.54,0.85,0.54,2512,0.25,1139,589,550,0.68,0.9,0.68,637,0.06,884,453,431,0.17,0.43,0.17,1260,650,620,32,33,31,32,32,1130,580,540,29,29,27,28,29,990,510,480,25,26,24,25,25,0,0,0,0,0,0,0,0,270
2020,Alaska,2822,0.37,822,1098,555,174,0.06,948,474,475,0.25,0.5,0.31,251,0.09,1083,536,546,0.52,0.73,0.57,83,0.03,1005,510,495,0.33,0.69,0.33,246,0.09,1065,545,520,0.46,0.77,0.48,1541,0.55,1138,577,561,0.64,0.88,0.66,393,0.14,1080,545,536,0.49,0.77,0.51,100,0.04,1054,533,521,0.45,0.69,0.47,1628,0.58,1081,552,529,0.49,0.8,0.51,1191,0.42,1121,560,561,0.62,0.8,0.66,88,0.05,976,505,471,0.27,0.67,0.27,50,0.03,921,463,457,0.24,0.52,0.24,492,0.26,984,500,484,0.34,0.68,0.36,124,0.06,1013,520,492,0.38,0.81,0.38,574,0.3,1101,563,538,0.63,0.89,0.64,473,0.25,1140,585,555,0.71,0.92,0.73,103,0.05,977,503,474,0.27,0.68,0.29,1220,620,600,32,31,30,31,32,1090,550,540,28,27,27,28,28,980,490,480,25,24,24,25,25,34,0.01,914,459,455,0.09,0.35,0.12,240
2020,Arizona,19634,0.29,634,1139,571,209,0.01,1002,498,503,0.38,0.58,0.41,1513,0.08,1255,613,642,0.83,0.91,0.87,781,0.04,1047,528,518,0.42,0.71,0.44,5960,0.3,1068,538,530,0.5,0.75,0.53,9649,0.49,1174,590,584,0.74,0.91,0.75,1016,0.05,1165,585,580,0.69,0.89,0.71,472,0.02,1101,556,545,0.54,0.74,0.57,11019,0.56,1123,569,554,0.61,0.84,0.62,8602,0.44,1158,574,585,0.7,0.85,0.73,2092,0.08,909,459,450,0.21,0.5,0.22,2444,0.09,897,451,447,0.18,0.45,0.2,7178,0.26,967,491,476,0.32,0.64,0.34,1585,0.06,1015,518,496,0.43,0.75,0.44,7706,0.28,1089,555,534,0.6,0.87,0.62,5409,0.2,1143,582,561,0.69,0.89,0.71,2376,0.09,907,459,448,0.2,0.5,0.21,1260,640,630,32,32,31.5,32,32,1140,570,560,29,29,28,29,29,1020,510,510,25,25,25.5,26,25,34,0,1075,528,547,0.56,0.71,0.59,240
2020,Arkansas,1300,0.04,1157,590,567,0,0,0,0,0,0,0,0,120,0.09,1250,605,644,0.75,0.84,0.86,128,0.1,999,519,481,0.24,0.72,0.26,161,0.12,1093,555,538,0.53,0.71,0.55,785,0.6,1177,604,573,0.69,0.9,0.7,73,0.06,1209,618,591,0.75,0.95,0.75,28,0.02,1191,604,588,0.71,0.93,0.71,720,0.55,1142,589,553,0.59,0.86,0.6,579,0.45,1175,590,585,0.69,0.84,0.73,135,0.03,1027,532,495,0.41,0.76,0.41,233,0.05,978,496,482,0.32,0.67,0.33,1149,0.23,1037,538,499,0.46,0.81,0.47,311,0.06,1063,553,510,0.54,0.87,0.54,1853,0.37,1112,576,535,0.63,0.9,0.64,1248,0.25,1166,606,560,0.73,0.93,0.73,158,0.03,1032,537,495,0.42,0.77,0.42,1290,660,640,33,34,32,33,33,1170,600,560,29,30,28,29,30,1020,520,500,26,26,25,26,26,0,0,0,0,0,0,0,0,270
2020,California,284631,0.67,631,1049,527,1018,0,917,465,452,0.19,0.4,0.21,46401,0.16,1207,589,618,0.73,0.84,0.77,13021,0.05,938,480,458,0.22,0.48,0.24,141662,0.5,962,487,475,0.27,0.51,0.29,57591,0.2,1158,583,575,0.67,0.86,0.69,13180,0.05,1149,578,571,0.64,0.84,0.66,10554,0.04,946,476,470,0.28,0.41,0.3,151619,0.53,1041,528,513,0.41,0.66,0.43,132672,0.47,1057,525,532,0.47,0.63,0.5,21587,0.08,862,432,431,0.16,0.37,0.17,43512,0.16,865,434,431,0.12,0.37,0.14,77797,0.29,924,468,456,0.23,0.53,0.25,12564,0.05,977,497,480,0.33,0.67,0.35,57043,0.21,1075,546,528,0.55,0.82,0.56,42992,0.16,1153,586,568,0.69,0.88,0.7,25037,0.09,860,431,429,0.15,0.36,0.16,1200,600,600,30,30,30,30,30,1030,520,520,26,26,26,26,26,880,440,430,22,22,21.5,23,22,1204,0,983,492,491,0.3,0.53,0.35,320
2020,Colorado,59781,1,781,1012,511,596,0.01,884,451,434,0.14,0.35,0.16,2306,0.04,1122,549,573,0.61,0.73,0.66,2475,0.04,905,459,447,0.19,0.4,0.21,19366,0.32,916,463,453,0.2,0.41,0.22,31260,0.52,1072,542,530,0.5,0.73,0.52,2605,0.04,1060,537,523,0.47,0.71,0.49,1040,0.02,973,493,480,0.35,0.51,0.36,29661,0.5,1017,520,498,0.38,0.64,0.39,30081,0.5,1006,502,504,0.4,0.57,0.42,1974,0.12,965,492,474,0.32,0.6,0.34,902,0.05,922,465,457,0.24,0.51,0.26,2667,0.16,996,510,487,0.37,0.71,0.39,588,0.04,1044,537,507,0.47,0.83,0.48,5398,0.33,1116,574,543,0.66,0.92,0.67,4516,0.27,1173,602,571,0.77,0.95,0.77,2112,0.13,958,489,469,0.3,0.6,0.32,1160,590,580,30,29,29,29,30,1000,510,500,26,25,25,26,25,850,430,410,21,21,20.5,22,22,133,0,934,468,466,0.26,0.44,0.29,310
2020,Connecticut,42939,1,939,1039,527,98,0,928,477,451,0.21,0.47,0.23,2631,0.06,1217,592,625,0.73,0.83,0.77,4704,0.11,897,461,436,0.16,0.39,0.17,9580,0.22,917,468,449,0.2,0.43,0.22,23334,0.54,1095,555,540,0.54,0.77,0.56,1495,0.03,1086,552,534,0.49,0.74,0.5,1055,0.02,1037,523,514,0.44,0.6,0.46,21105,0.49,1043,535,508,0.42,0.68,0.43,21807,0.51,1035,519,516,0.44,0.62,0.46,2571,0.07,873,441,433,0.18,0.4,0.19,1993,0.05,852,428,424,0.12,0.35,0.13,9707,0.25,917,468,449,0.2,0.54,0.21,1822,0.05,967,496,471,0.29,0.66,0.3,10585,0.27,1051,539,511,0.49,0.81,0.5,8916,0.23,1123,575,547,0.64,0.88,0.64,3349,0.09,881,445,436,0.19,0.42,0.2,1200,610,590,31,31,29.5,30,31,1030,530,510,26,26,25.5,26,26,860,440,420,22,22,21,22,22,42,0,925,469,456,0.14,0.4,0.19,340
2020,Delaware,10960,1,960,978,497,102,0.01,851,426,425,0.1,0.22,0.14,477,0.04,1171,577,594,0.65,0.77,0.68,2399,0.22,884,451,433,0.13,0.34,0.14,1836,0.17,903,458,445,0.17,0.38,0.19,4819,0.44,1056,537,519,0.46,0.72,0.47,652,0.06,1001,512,489,0.32,0.61,0.34,659,0.06,824,416,408,0.09,0.2,0.11,5474,0.5,987,506,481,0.31,0.57,0.32,5476,0.5,970,488,482,0.31,0.5,0.34,101,0.02,911,458,454,0.3,0.44,0.34,355,0.06,867,431,436,0.14,0.38,0.17,1749,0.28,918,468,450,0.2,0.54,0.21,364,0.06,945,483,462,0.26,0.6,0.27,2006,0.32,1031,530,501,0.44,0.76,0.45,1452,0.23,1101,567,533,0.59,0.87,0.6,123,0.02,930,473,457,0.31,0.5,0.35,1110,570,550,29,29,27.5,29,29,960,490,470,25,24,23.5,25,25,820,410,400,21,20,20,21,21,16,0,820,418,402,0.06,0.13,0.06,290
2020,District,5090,1,979,498,482,21,0,786,400,386,0,0.14,0,158,0.03,1210,592,618,0.7,0.78,0.77,2416,0.47,877,447,430,0.15,0.32,0.16,767,0.15,969,490,478,0.29,0.48,0.3,990,0.19,1263,643,620,0.83,0.91,0.83,176,0.03,1145,582,563,0.59,0.74,0.6,555,0.11,824,417,406,0.11,0.19,0.13,2460,0.48,974,500,475,0.31,0.48,0.31,2616,0.51,985,496,489,0.35,0.47,0.37,1432,0.31,820,405,415,0.14,0.25,0.16,258,0.06,831,413,418,0.11,0.28,0.13,859,0.19,854,425,429,0.15,0.34,0.16,101,0.02,905,456,450,0.23,0.49,0.26,734,0.16,1040,533,508,0.5,0.75,0.51,1327,0.29,1181,608,573,0.74,0.92,0.74,1616,0.35,841,418,423,0.17,0.3,0.19,1170,600,580,30,30,29,30,30,910,460,450,24,23,22.5,24,24,770,390,380,20,19,19,20,20,0,0,0,0,0,0,0,0,400
2020,Florida,186321,1,321,992,512,1316,0.01,927,479,447,0.21,0.45,0.22,6767,0.04,1145,568,577,0.61,0.78,0.66,35955,0.19,890,465,425,0.12,0.39,0.13,63510,0.34,980,507,473,0.29,0.58,0.3,63548,0.34,1060,545,515,0.45,0.74,0.46,6941,0.04,1035,534,501,0.38,0.69,0.4,7954,0.04,844,446,398,0.11,0.28,0.11,95500,0.51,997,519,478,0.31,0.63,0.32,90561,0.49,987,506,481,0.33,0.56,0.34,4848,0.05,843,425,418,0.11,0.33,0.12,6539,0.07,864,437,427,0.13,0.39,0.14,26987,0.28,928,477,451,0.23,0.57,0.23,6628,0.07,982,508,474,0.32,0.7,0.33,27358,0.28,1048,541,507,0.48,0.8,0.49,19426,0.2,1089,560,529,0.57,0.83,0.58,6184,0.06,844,426,418,0.11,0.34,0.12,1130,580,550,29,29,27.5,29,29,970,500,470,26,25,23.5,25,25,840,440,390,22,21,19.5,22,22,330,0,918,477,441,0.19,0.43,0.2,290
