Year,State,Total_SAT_Takers,Total_Participation_Rate,Mean_Total_Score,Mean_ERW_Score,Mean_Math_Score,Race_Asian_N,Race_Asian_Pct,Race_Asian_Mean_Tot,Race_Asian_Mean_ERW,Race_Asian_Mean_Math,Race_Asian_Met_Both,Race_Asian_Met_ERW,Race_Asian_Met_Math,Race_Black_N,Race_Black_Pct,Race_Black_Mean_Tot,Race_Black_Mean_ERW,Race_Black_Mean_Math,Race_Black_Met_Both,Race_Black_Met_ERW,Race_Black_Met_Math,Race_Hispanic_N,Race_Hispanic_Pct,Race_Hispanic_Mean_Tot,Race_Hispanic_Mean_ERW,Race_Hispanic_Mean_Math,Race_Hispanic_Met_Both,Race_Hispanic_Met_ERW,Race_Hispanic_Met_Math,Race_White_N,Race_White_Pct,Race_White_Mean_Tot,Race_White_Mean_ERW,Race_White_Mean_Math,Race_White_Met_Both,Race_White_Met_ERW,Race_White_Met_Math,Race_Multi_N,Race_Multi_Pct,Race_Multi_Mean_Tot,Race_Multi_Mean_ERW,Race_Multi_Mean_Math,Race_Multi_Met_Both,Race_Multi_Met_ERW,Race_Multi_Met_Math,Race_NoResp_N,Race_NoResp_Pct,Race_NoResp_Mean_Tot,Race_NoResp_Mean_ERW,Race_NoResp_Mean_Math,Race_NoResp_Met_Both,Race_NoResp_Met_ERW,Race_NoResp_Met_Math,Gen_Female_N,Gen_Female_Pct,Gen_Female_Mean_Tot,Gen_Female_Mean_ERW,Gen_Female_Mean_Math,Gen_Female_Met_Both,Gen_Female_Met_ERW,Gen_Female_Met_Math,Gen_Male_N,Gen_Male_Pct,Gen_Male_Mean_Tot,Gen_Male_Mean_ERW,Gen_Male_Mean_Math,Gen_Male_Met_Both,Gen_Male_Met_ERW,Gen_Male_Met_Math,Gen_NoResp_N,Gen_NoResp_Pct,Gen_NoResp_Mean_Tot,Gen_NoResp_Mean_ERW,Gen_NoResp_Mean_Math,Gen_NoResp_Met_Both,Gen_NoResp_Met_ERW,Gen_NoResp_Met_Math,Edu_NoHS_N,Edu_NoHS_Pct,Edu_NoHS_Mean_Tot,Edu_NoHS_Mean_ERW,Edu_NoHS_Mean_Math,Edu_NoHS_Met_Both,Edu_NoHS_Met_ERW,Edu_NoHS_Met_Math,Edu_HS_N,Edu_HS_Pct,Edu_HS_Mean_Tot,Edu_HS_Mean_ERW,Edu_HS_Mean_Math,Edu_HS_Met_Both,Edu_HS_Met_ERW,Edu_HS_Met_Math,Edu_Assoc_N,Edu_Assoc_Pct,Edu_Assoc_Mean_Tot,Edu_Assoc_Mean_ERW,Edu_Assoc_Mean_Math,Edu_Assoc_Met_Both,Edu_Assoc_Met_ERW,Edu_Assoc_Met_Math,Edu_Bach_N,Edu_Bach_Pct,Edu_Bach_Mean_Tot,Edu_Bach_Mean_ERW,Edu_Bach_Mean_Math,Edu_Bach_Met_Both,Edu_Bach_Met_ERW,Edu_Bach_Met_Math,Edu_Grad_N,Edu_Grad_Pct,Edu_Grad_Mean_Tot,Edu_Grad_Mean_ERW,Edu_Grad_Mean_Math,Edu_Grad_Met_Both,Edu_Grad_Met_ERW,Edu_Grad_Met_Math,Edu_NoResp_N,Edu_NoResp_Pct,Edu_NoResp_Mean_Tot,Edu_NoResp_Mean_ERW,Edu_NoResp_Mean_Math,Edu_NoResp_Met_Both,Edu_NoResp_Met_ERW,Edu_NoResp_Met_Math,Loc_City_N,Loc_City_Pct,Loc_City_Mean_Tot,Loc_City_Mean_ERW,Loc_City_Mean_Math,Loc_City_Met_Both,Loc_City_Met_ERW,Loc_City_Met_Math,Loc_Suburb_N,Loc_Suburb_Pct,Loc_Suburb_Mean_Tot,Loc_Suburb_Mean_ERW,Loc_Suburb_Mean_Math,Loc_Suburb_Met_Both,Loc_Suburb_Met_ERW,Loc_Suburb_Met_Math,Loc_TownRural_N,Loc_TownRural_Pct,Loc_TownRural_Mean_Tot,Loc_TownRural_Mean_ERW,Loc_TownRural_Mean_Math,Loc_TownRural_Met_Both,Loc_TownRural_Met_ERW,Loc_TownRural_Met_Math,Loc_Unknown_N,Loc_Unknown_Pct,Loc_Unknown_Mean_Tot,Loc_Unknown_Mean_ERW,Loc_Unknown_Mean_Math,Loc_Unknown_Met_Both,Loc_Unknown_Met_ERW,Loc_Unknown_Met_Math,Inc_Lowest_N,Inc_Lowest_Pct,Inc_Lowest_Mean_Tot,Inc_Lowest_Mean_ERW,Inc_Lowest_Mean_Math,Inc_Lowest_Met_Both,Inc_Lowest_Met_ERW,Inc_Lowest_Met_Math,Inc_2ndLow_N,Inc_2ndLow_Pct,Inc_2ndLow_Mean_Tot,Inc_2ndLow_Mean_ERW,Inc_2ndLow_Mean_Math,Inc_2ndLow_Met_Both,Inc_2ndLow_Met_ERW,Inc_2ndLow_Met_Math,Inc_Middle_N,Inc_Middle_Pct,Inc_Middle_Mean_Tot,Inc_Middle_Mean_ERW,Inc_Middle_Mean_Math,Inc_Middle_Met_Both,Inc_Middle_Met_ERW,Inc_Middle_Met_Math,Inc_2ndHigh_N,Inc_2ndHigh_Pct,Inc_2ndHigh_Mean_Tot,Inc_2ndHigh_Mean_ERW,Inc_2ndHigh_Mean_Math,Inc_2ndHigh_Met_Both,Inc_2ndHigh_Met_ERW,Inc_2ndHigh_Met_Math,Inc_Highest_N,Inc_Highest_Pct,Inc_Highest_Mean_Tot,Inc_Highest_Mean_ERW,Inc_Highest_Mean_Math,Inc_Highest_Met_Both,Inc_Highest_Met_ERW,Inc_Highest_Met_Math,Inc_Unknown_N,Inc_Unknown_Pct,Inc_Unknown_Mean_Tot,Inc_Unknown_Mean_ERW,Inc_Unknown_Mean_Math,Inc_Unknown_Met_Both,Inc_Unknown_Met_ERW,Inc_Unknown_Met_Math,SAT_75th_Total,SAT_75th_ERW,SAT_75th_Math,SAT_75th_Reading,SAT_75th_Writing,SAT_75th_Math_Sub,SAT_75th_Hist_Soc,SAT_75th_Science,SAT_50th_Total,SAT_50th_ERW,SAT_50th_Math,SAT_50th_Reading,SAT_50th_Writing,SAT_50th_Math_Sub,SAT_50th_Hist_Soc,SAT_50th_Science,SAT_25th_Total,SAT_25th_ERW,SAT_25th_Math,SAT_25th_Reading,SAT_25th_Writing,SAT_25th_Math_Sub,SAT_25th_Hist_Soc,SAT_25th_Science,Race_AmInd_N,Race_AmInd_Pct,Race_AmInd_Mean_Tot,Race_AmInd_Mean_ERW,Race_AmInd_Mean_Math,Race_AmInd_Met_Both,Race_AmInd_Met_ERW,Race_AmInd_Met_Math,Race_NatHaw_N,Race_NatHaw_Pct,Race_NatHaw_Mean_Tot,Race_NatHaw_Mean_ERW,Race_NatHaw_Mean_Math,Race_NatHaw_Met_Both,Race_NatHaw_Met_ERW,Race_NatHaw_Met_Math,SAT_IQR_Spread
2023,Alabama,1512.0,0.03,512.0,1161.0,592.0,237.0,0.16,1325.0,639.0,686.0,0.89,0.93,0.94,219.0,0.14,980.0,511.0,470.0,0.28,0.62,0.28,95.0,0.06,1120.0,580.0,540.0,0.52,0.82,0.52,789.0,0.52,1180.0,607.0,573.0,0.67,0.92,0.68,81.0,0.05,1142.0,583.0,559.0,0.56,0.85,0.58,83.0,0.05,1076.0,554.0,521.0,0.45,0.73,0.46,788.0,0.52,1133.0,586.0,547.0,0.55,0.85,0.56,714.0,0.47,1191.0,597.0,594.0,0.68,0.87,0.7,60.0,0.04,1053.0,539.0,514.0,0.43,0.68,0.45,27.0,0.02,1076.0,533.0,543.0,0.48,0.63,0.52,172.0,0.11,1054.0,547.0,507.0,0.38,0.73,0.4,68.0,0.04,1089.0,563.0,526.0,0.47,0.82,0.47,535.0,0.35,1155.0,587.0,568.0,0.61,0.86,0.63,621.0,0.41,1227.0,624.0,603.0,0.74,0.93,0.75,89.0,0.06,1023.0,515.0,508.0,0.37,0.63,0.38,624.0,0.41,1155.0,585.0,569.0,0.63,0.83,0.64,339.0,0.22,1197.0,606.0,591.0,0.68,0.91,0.68,280.0,0.19,1085.0,561.0,524.0,0.46,0.81,0.49,269.0,0.18,1210.0,621.0,590.0,0.67,0.91,0.68,184.0,0.12,1092.0,562.0,530.0,0.46,0.78,0.48,184.0,0.12,1092.0,562.0,530.0,0.46,0.78,0.48,269.0,0.18,1114.0,574.0,540.0,0.55,0.84,0.56,320.0,0.21,1182.0,607.0,575.0,0.65,0.88,0.66,465.0,0.31,1249.0,628.0,621.0,0.79,0.96,0.8,137.0,0.09,1124.0,568.0,557.0,0.55,0.76,0.56,1310,670,660,33,34,33.0,33,33,1170,600,570,29,30,28.5,29,30,1010,510,480,25,26,24.0,25,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300
2023,Alaska,2453.0,0.3,0.0,0.0,0.0,225.0,0.09,1083.0,541.0,542.0,0.49,0.73,0.52,52.0,0.02,960.0,494.0,466.0,0.21,0.56,0.23,211.0,0.09,1049.0,542.0,508.0,0.39,0.75,0.4,1318.0,0.54,1123.0,576.0,547.0,0.57,0.86,0.58,299.0,0.12,1076.0,548.0,528.0,0.46,0.75,0.48,184.0,0.08,990.0,512.0,477.0,0.31,0.6,0.33,1309.0,0.53,1058.0,548.0,511.0,0.42,0.75,0.43,1106.0,0.45,1110.0,559.0,550.0,0.57,0.79,0.6,176.0,0.07,972.0,500.0,472.0,0.27,0.57,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,0.07,1051.0,539.0,512.0,0.43,0.77,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,639.0,0.26,1167.0,596.0,571.0,0.66,0.89,0.68,285.0,0.12,972.0,500.0,471.0,0.27,0.57,0.29,773.0,0.32,1133.0,575.0,558.0,0.59,0.82,0.61,242.0,0.1,1115.0,578.0,537.0,0.52,0.87,0.52,1343.0,0.55,1044.0,534.0,509.0,0.41,0.72,0.43,285.0,0.12,1002.0,514.0,488.0,0.33,0.62,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1210,620,590,32,31,29.5,31,32,1080,550,530,28,27,26.5,28,28,950,480,460,25,24,23.0,24,24,139.0,0.06,957.0,482.0,476.0,0.27,0.5,0.31,25.0,0.01,915.0,470.0,446.0,0.16,0.44,0.2,260
2023,Arizona,8689.0,0.11,0.0,0.0,0.0,1186.0,0.14,1294.0,636.0,658.0,0.87,0.94,0.89,331.0,0.04,1064.0,543.0,521.0,0.46,0.75,0.47,2197.0,0.25,1099.0,558.0,541.0,0.55,0.79,0.56,4097.0,0.47,1209.0,611.0,598.0,0.78,0.94,0.79,479.0,0.06,1216.0,612.0,604.0,0.8,0.92,0.8,283.0,0.03,1142.0,580.0,563.0,0.62,0.8,0.64,4647.0,0.53,1164.0,593.0,571.0,0.67,0.88,0.68,3980.0,0.46,1204.0,599.0,605.0,0.76,0.89,0.78,264.0,0.03,1123.0,568.0,555.0,0.61,0.76,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.0,0.04,1109.0,561.0,548.0,0.58,0.83,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3177.0,0.37,1252.0,628.0,623.0,0.83,0.95,0.84,415.0,0.05,1082.0,551.0,531.0,0.49,0.71,0.51,5314.0,0.61,1195.0,601.0,594.0,0.73,0.89,0.74,1930.0,0.22,1185.0,596.0,589.0,0.74,0.89,0.75,1032.0,0.12,1134.0,573.0,561.0,0.63,0.85,0.65,748.0,0.09,1112.0,562.0,550.0,0.59,0.78,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1320,670,660,33,34,33.5,34,33,1190,600,590,30,30,29.5,30,30,1060,530,520,26,26,26.0,27,27,95.0,0.01,1017.0,510.0,507.0,0.4,0.6,0.44,21.0,0.0,1102.0,555.0,547.0,0.62,0.81,0.67,260
2023,Arkansas,683.0,0.02,0.0,0.0,0.0,91.0,0.13,1284.0,636.0,648.0,0.87,0.93,0.89,46.0,0.07,1074.0,563.0,511.0,0.46,0.8,0.46,84.0,0.12,1121.0,576.0,545.0,0.6,0.81,0.62,397.0,0.58,1202.0,617.0,585.0,0.73,0.92,0.74,34.0,0.05,1226.0,642.0,584.0,0.71,0.97,0.71,24.0,0.04,1138.0,583.0,554.0,0.63,0.92,0.71,390.0,0.57,1180.0,612.0,568.0,0.68,0.93,0.69,290.0,0.42,1207.0,606.0,600.0,0.73,0.87,0.76,30.0,0.04,1116.0,572.0,544.0,0.57,0.83,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.04,1093.0,563.0,530.0,0.5,0.77,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.0,0.43,1232.0,631.0,600.0,0.77,0.94,0.79,27.0,0.04,1091.0,568.0,523.0,0.44,0.78,0.44,348.0,0.51,1229.0,628.0,601.0,0.77,0.95,0.78,53.0,0.08,1168.0,600.0,568.0,0.66,0.91,0.66,203.0,0.3,1133.0,580.0,553.0,0.61,0.82,0.63,34.0,0.05,1124.0,573.0,551.0,0.62,0.82,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1320,680,660,34,35,33.0,34,34,1200,620,580,31,32,29.0,30,31,1060,550,520,27,28,26.0,27,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260
2023,California,122914.0,0.25,0.0,0.0,0.0,26181.0,0.21,1263.0,621.0,642.0,0.8,0.9,0.83,5682.0,0.05,926.0,478.0,449.0,0.22,0.47,0.23,51675.0,0.42,942.0,481.0,461.0,0.24,0.48,0.26,27334.0,0.22,1187.0,602.0,586.0,0.71,0.89,0.72,6360.0,0.05,1216.0,613.0,604.0,0.75,0.91,0.76,4839.0,0.04,1043.0,526.0,517.0,0.42,0.58,0.44,63149.0,0.51,1069.0,545.0,524.0,0.46,0.69,0.48,58912.0,0.48,1096.0,547.0,549.0,0.54,0.68,0.56,16605.0,0.14,926.0,470.0,456.0,0.23,0.41,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4422.0,0.04,1041.0,530.0,511.0,0.42,0.69,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30342.0,0.25,1268.0,635.0,633.0,0.81,0.93,0.82,18729.0,0.15,875.0,445.0,429.0,0.15,0.3,0.17,60947.0,0.5,1074.0,541.0,533.0,0.48,0.66,0.5,48493.0,0.39,1083.0,546.0,536.0,0.51,0.69,0.52,7564.0,0.06,1047.0,533.0,514.0,0.43,0.68,0.45,10922.0,0.09,988.0,500.0,488.0,0.33,0.51,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1270,640,640,32,32,32.0,32,32,1080,550,530,27,27,26.5,27,27,880,450,420,23,22,21.0,23,22,424.0,0.0,941.0,477.0,464.0,0.27,0.44,0.28,419.0,0.0,987.0,500.0,487.0,0.34,0.55,0.36,390
2023,Colorado,57293.0,0.9,0.0,0.0,0.0,2211.0,0.04,1115.0,553.0,562.0,0.56,0.73,0.61,2353.0,0.04,894.0,458.0,436.0,0.16,0.39,0.17,19202.0,0.34,894.0,456.0,438.0,0.16,0.37,0.17,29348.0,0.51,1060.0,542.0,518.0,0.46,0.73,0.48,2499.0,0.04,1052.0,538.0,514.0,0.44,0.72,0.45,1032.0,0.02,960.0,490.0,470.0,0.28,0.52,0.29,28319.0,0.49,994.0,513.0,481.0,0.32,0.61,0.33,28782.0,0.5,996.0,503.0,493.0,0.36,0.57,0.39,22691.0,0.4,928.0,475.0,453.0,0.22,0.46,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1458.0,0.03,1027.0,525.0,503.0,0.39,0.7,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8906.0,0.16,1180.0,600.0,581.0,0.7,0.91,0.72,26356.0,0.46,885.0,453.0,432.0,0.13,0.36,0.14,21687.0,0.38,977.0,498.0,479.0,0.31,0.54,0.33,19469.0,0.34,1012.0,516.0,496.0,0.37,0.62,0.39,14939.0,0.26,997.0,510.0,488.0,0.34,0.61,0.36,12005.0,0.21,901.0,461.0,440.0,0.18,0.38,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1130,580,560,29,29,28.0,29,30,980,500,480,25,25,24.0,25,25,840,430,400,22,21,20.0,22,21,510.0,0.01,898.0,458.0,440.0,0.17,0.38,0.19,138.0,0.0,906.0,464.0,442.0,0.15,0.41,0.16,290
2023,Connecticut,40405.0,0.93,0.0,0.0,0.0,2343.0,0.06,1200.0,591.0,609.0,0.67,0.8,0.71,4341.0,0.11,864.0,444.0,421.0,0.11,0.32,0.12,10185.0,0.25,892.0,456.0,436.0,0.16,0.37,0.17,20913.0,0.52,1067.0,543.0,524.0,0.47,0.72,0.49,1545.0,0.04,1051.0,535.0,516.0,0.42,0.66,0.43,956.0,0.02,1034.0,522.0,512.0,0.43,0.58,0.44,19972.0,0.49,1008.0,518.0,490.0,0.35,0.61,0.36,20261.0,0.5,1005.0,506.0,499.0,0.38,0.56,0.4,9352.0,0.23,886.0,452.0,434.0,0.16,0.35,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1354.0,0.03,995.0,512.0,484.0,0.31,0.64,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8539.0,0.21,1188.0,601.0,587.0,0.69,0.88,0.7,13352.0,0.33,864.0,441.0,423.0,0.11,0.31,0.13,9423.0,0.23,904.0,463.0,441.0,0.18,0.39,0.19,23581.0,0.58,1036.0,525.0,510.0,0.41,0.64,0.43,5945.0,0.15,1051.0,535.0,516.0,0.43,0.69,0.45,6465.0,0.16,887.0,453.0,434.0,0.15,0.36,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1160,590,570,30,30,28.5,29,30,990,500,480,25,25,24.0,25,25,830,420,400,21,21,20.0,21,21,80.0,0.0,919.0,467.0,452.0,0.2,0.43,0.21,42.0,0.0,899.0,455.0,444.0,0.24,0.38,0.24,330
2023,Delaware,10368.0,0.95,0.0,0.0,0.0,459.0,0.04,1187.0,592.0,595.0,0.69,0.85,0.71,2289.0,0.22,879.0,450.0,429.0,0.11,0.34,0.12,1790.0,0.17,885.0,452.0,433.0,0.13,0.35,0.15,4048.0,0.39,1040.0,532.0,508.0,0.41,0.7,0.42,565.0,0.05,975.0,500.0,475.0,0.29,0.55,0.3,1138.0,0.11,849.0,428.0,420.0,0.09,0.23,0.1,5329.0,0.51,959.0,493.0,465.0,0.25,0.53,0.26,5018.0,0.48,957.0,484.0,473.0,0.28,0.48,0.3,1091.0,0.11,865.0,437.0,428.0,0.13,0.27,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,529.0,0.05,968.0,497.0,471.0,0.25,0.54,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1733.0,0.17,1099.0,561.0,538.0,0.53,0.77,0.53,2149.0,0.21,851.0,431.0,420.0,0.08,0.25,0.1,1385.0,0.13,1000.0,510.0,489.0,0.34,0.56,0.35,4305.0,0.42,935.0,478.0,458.0,0.23,0.46,0.24,4118.0,0.4,948.0,483.0,465.0,0.24,0.49,0.25,315.0,0.03,883.0,447.0,436.0,0.17,0.32,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1080,560,540,28,28,27.0,28,28,930,480,460,24,24,23.0,24,24,800,410,390,21,20,19.5,20,21,73.0,0.01,862.0,440.0,423.0,0.15,0.29,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280
2023,District,4987.0,1.0,987.0,969.0,495.0,147.0,0.03,1226.0,613.0,613.0,0.69,0.84,0.69,2302.0,0.46,865.0,443.0,422.0,0.14,0.31,0.15,679.0,0.14,967.0,495.0,471.0,0.29,0.47,0.3,1006.0,0.2,1232.0,630.0,602.0,0.76,0.88,0.77,190.0,0.04,1161.0,592.0,568.0,0.62,0.76,0.63,634.0,0.13,822.0,421.0,402.0,0.1,0.21,0.1,2492.0,0.5,961.0,494.0,466.0,0.29,0.46,0.3,2471.0,0.5,976.0,495.0,480.0,0.34,0.47,0.34,2093.0,0.42,829.0,424.0,405.0,0.1,0.22,0.11,259.0,0.05,850.0,434.0,416.0,0.09,0.25,0.11,1090.0,0.22,870.0,443.0,427.0,0.11,0.3,0.13,152.0,0.03,909.0,469.0,439.0,0.14,0.44,0.16,692.0,0.14,1070.0,548.0,523.0,0.49,0.69,0.49,1288.0,0.26,1242.0,635.0,607.0,0.76,0.9,0.76,1506.0,0.3,787.0,403.0,384.0,0.05,0.16,0.06,4554.0,0.91,944.0,483.0,461.0,0.28,0.43,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.0,0.09,1235.0,628.0,607.0,0.7,0.8,0.7,441.0,0.09,831.0,423.0,408.0,0.09,0.23,0.1,441.0,0.09,831.0,423.0,408.0,0.09,0.23,0.1,261.0,0.05,855.0,436.0,419.0,0.13,0.3,0.13,498.0,0.1,941.0,481.0,460.0,0.24,0.45,0.26,2091.0,0.42,1124.0,575.0,549.0,0.58,0.73,0.58,885.0,0.18,846.0,431.0,414.0,0.1,0.24,0.11,1160,600,570,30,30,28.5,30,30,890,460,440,24,23,22.0,24,23,760,390,370,20,18,18.5,20,19,25.0,0.01,798.0,400.0,399.0,0.08,0.2,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400
2023,Florida,205159.0,0.9,0.0,0.0,0.0,7434.0,0.04,1145.0,575.0,570.0,0.61,0.8,0.63,35432.0,0.17,872.0,459.0,413.0,0.11,0.39,0.11,66716.0,0.33,963.0,503.0,460.0,0.26,0.59,0.26,68592.0,0.33,1030.0,534.0,496.0,0.38,0.71,0.39,7114.0,0.03,1020.0,531.0,489.0,0.36,0.7,0.37,18224.0,0.09,828.0,436.0,393.0,0.07,0.27,0.08,102651.0,0.5,972.0,510.0,462.0,0.26,0.61,0.27,100318.0,0.49,962.0,498.0,465.0,0.28,0.55,0.3,33479.0,0.16,839.0,441.0,398.0,0.07,0.31,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11891.0,0.06,989.0,517.0,472.0,0.28,0.67,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32142.0,0.16,1096.0,564.0,532.0,0.51,0.79,0.52,47425.0,0.23,841.0,442.0,399.0,0.07,0.31,0.08,56406.0,0.27,963.0,502.0,461.0,0.27,0.56,0.28,108548.0,0.53,969.0,505.0,464.0,0.27,0.59,0.28,32732.0,0.16,945.0,494.0,452.0,0.23,0.55,0.24,37337.0,0.18,865.0,454.0,410.0,0.12,0.36,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1110,570,540,29,29,27.0,29,29,940,490,440,25,25,22.5,25,24,810,430,370,22,21,18.5,21,21,1255.0,0.01,891.0,465.0,426.0,0.14,0.43,0.15,392.0,0.0,893.0,468.0,425.0,0.16,0.43,0.17,300
