State,Total_SAT_Takers,Total_Participation_Rate,Mean_Total_Score,Mean_ERW_Score,Mean_Math_Score,Race_Asian_N,Race_Asian_Pct,Race_Asian_Mean_Tot,Race_Asian_Mean_ERW,Race_Asian_Mean_Math,Race_Asian_Met_Both,Race_Asian_Met_ERW,Race_Asian_Met_Math,Race_Black_N,Race_Black_Pct,Race_Black_Mean_Tot,Race_Black_Mean_ERW,Race_Black_Mean_Math,Race_Black_Met_Both,Race_Black_Met_ERW,Race_Black_Met_Math,Race_Hispanic_N,Race_Hispanic_Pct,Race_Hispanic_Mean_Tot,Race_Hispanic_Mean_ERW,Race_Hispanic_Mean_Math,Race_Hispanic_Met_Both,Race_Hispanic_Met_ERW,Race_Hispanic_Met_Math,Race_White_N,Race_White_Pct,Race_White_Mean_Tot,Race_White_Mean_ERW,Race_White_Mean_Math,Race_White_Met_Both,Race_White_Met_ERW,Race_White_Met_Math,Race_Multi_N,Race_Multi_Pct,Race_Multi_Mean_Tot,Race_Multi_Mean_ERW,Race_Multi_Mean_Math,Race_Multi_Met_Both,Race_Multi_Met_ERW,Race_Multi_Met_Math,Race_NoResp_N,Race_NoResp_Pct,Race_NoResp_Mean_Tot,Race_NoResp_Mean_ERW,Race_NoResp_Mean_Math,Race_NoResp_Met_Both,Race_NoResp_Met_ERW,Race_NoResp_Met_Math,Gen_Female_N,Gen_Female_Pct,Gen_Female_Mean_Tot,Gen_Female_Mean_ERW,Gen_Female_Mean_Math,Gen_Female_Met_Both,Gen_Female_Met_ERW,Gen_Female_Met_Math,Gen_Male_N,Gen_Male_Pct,Gen_Male_Mean_Tot,Gen_Male_Mean_ERW,Gen_Male_Mean_Math,Gen_Male_Met_Both,Gen_Male_Met_ERW,Gen_Male_Met_Math,Gen_NoResp_N,Gen_NoResp_Pct,Gen_NoResp_Mean_Tot,Gen_NoResp_Mean_ERW,Gen_NoResp_Mean_Math,Gen_NoResp_Met_Both,Gen_NoResp_Met_ERW,Gen_NoResp_Met_Math,Edu_NoHS_N,Edu_NoHS_Pct,Edu_NoHS_Mean_Tot,Edu_NoHS_Mean_ERW,Edu_NoHS_Mean_Math,Edu_NoHS_Met_Both,Edu_NoHS_Met_ERW,Edu_NoHS_Met_Math,Edu_HS_N,Edu_HS_Pct,Edu_HS_Mean_Tot,Edu_HS_Mean_ERW,Edu_HS_Mean_Math,Edu_HS_Met_Both,Edu_HS_Met_ERW,Edu_HS_Met_Math,Edu_Assoc_N,Edu_Assoc_Pct,Edu_Assoc_Mean_Tot,Edu_Assoc_Mean_ERW,Edu_Assoc_Mean_Math,Edu_Assoc_Met_Both,Edu_Assoc_Met_ERW,Edu_Assoc_Met_Math,Edu_Bach_N,Edu_Bach_Pct,Edu_Bach_Mean_Tot,Edu_Bach_Mean_ERW,Edu_Bach_Mean_Math,Edu_Bach_Met_Both,Edu_Bach_Met_ERW,Edu_Bach_Met_Math,Edu_Grad_N,Edu_Grad_Pct,Edu_Grad_Mean_Tot,Edu_Grad_Mean_ERW,Edu_Grad_Mean_Math,Edu_Grad_Met_Both,Edu_Grad_Met_ERW,Edu_Grad_Met_Math,Edu_NoResp_N,Edu_NoResp_Pct,Edu_NoResp_Mean_Tot,Edu_NoResp_Mean_ERW,Edu_NoResp_Mean_Math,Edu_NoResp_Met_Both,Edu_NoResp_Met_ERW,Edu_NoResp_Met_Math,Loc_City_N,Loc_City_Pct,Loc_City_Mean_Tot,Loc_City_Mean_ERW,Loc_City_Mean_Math,Loc_City_Met_Both,Loc_City_Met_ERW,Loc_City_Met_Math,Loc_Suburb_N,Loc_Suburb_Pct,Loc_Suburb_Mean_Tot,Loc_Suburb_Mean_ERW,Loc_Suburb_Mean_Math,Loc_Suburb_Met_Both,Loc_Suburb_Met_ERW,Loc_Suburb_Met_Math,Loc_TownRural_N,Loc_TownRural_Pct,Loc_TownRural_Mean_Tot,Loc_TownRural_Mean_ERW,Loc_TownRural_Mean_Math,Loc_TownRural_Met_Both,Loc_TownRural_Met_ERW,Loc_TownRural_Met_Math,Loc_Unknown_N,Loc_Unknown_Pct,Loc_Unknown_Mean_Tot,Loc_Unknown_Mean_ERW,Loc_Unknown_Mean_Math,Loc_Unknown_Met_Both,Loc_Unknown_Met_ERW,Loc_Unknown_Met_Math,Inc_Lowest_N,Inc_Lowest_Pct,Inc_Lowest_Mean_Tot,Inc_Lowest_Mean_ERW,Inc_Lowest_Mean_Math,Inc_Lowest_Met_Both,Inc_Lowest_Met_ERW,Inc_Lowest_Met_Math,Inc_2ndLow_N,Inc_2ndLow_Pct,Inc_2ndLow_Mean_Tot,Inc_2ndLow_Mean_ERW,Inc_2ndLow_Mean_Math,Inc_2ndLow_Met_Both,Inc_2ndLow_Met_ERW,Inc_2ndLow_Met_Math,Inc_Middle_N,Inc_Middle_Pct,Inc_Middle_Mean_Tot,Inc_Middle_Mean_ERW,Inc_Middle_Mean_Math,Inc_Middle_Met_Both,Inc_Middle_Met_ERW,Inc_Middle_Met_Math,Inc_2ndHigh_N,Inc_2ndHigh_Pct,Inc_2ndHigh_Mean_Tot,Inc_2ndHigh_Mean_ERW,Inc_2ndHigh_Mean_Math,Inc_2ndHigh_Met_Both,Inc_2ndHigh_Met_ERW,Inc_2ndHigh_Met_Math,Inc_Highest_N,Inc_Highest_Pct,Inc_Highest_Mean_Tot,Inc_Highest_Mean_ERW,Inc_Highest_Mean_Math,Inc_Highest_Met_Both,Inc_Highest_Met_ERW,Inc_Highest_Met_Math,Inc_Unknown_N,Inc_Unknown_Pct,Inc_Unknown_Mean_Tot,Inc_Unknown_Mean_ERW,Inc_Unknown_Mean_Math,Inc_Unknown_Met_Both,Inc_Unknown_Met_ERW,Inc_Unknown_Met_Math,SAT_75th_Total,SAT_75th_ERW,SAT_75th_Math,SAT_75th_Reading,SAT_75th_Writing,SAT_75th_Math_Sub,SAT_75th_Hist_Soc,SAT_75th_Science,SAT_50th_Total,SAT_50th_ERW,SAT_50th_Math,SAT_50th_Reading,SAT_50th_Writing,SAT_50th_Math_Sub,SAT_50th_Hist_Soc,SAT_50th_Science,SAT_25th_Total,SAT_25th_ERW,SAT_25th_Math,SAT_25th_Reading,SAT_25th_Writing,SAT_25th_Math_Sub,SAT_25th_Hist_Soc,SAT_25th_Science,Race_AmInd_N,Race_AmInd_Pct,Race_AmInd_Mean_Tot,Race_AmInd_Mean_ERW,Race_AmInd_Mean_Math,Race_AmInd_Met_Both,Race_AmInd_Met_ERW,Race_AmInd_Met_Math,Race_NatHaw_N,Race_NatHaw_Pct,Race_NatHaw_Mean_Tot,Race_NatHaw_Mean_ERW,Race_NatHaw_Mean_Math,Race_NatHaw_Met_Both,Race_NatHaw_Met_ERW,Race_NatHaw_Met_Math,SAT_IQR_Spread
Alabama,1517.0,0.03,517,1157,591,225.0,0.15,1296.0,628.0,668.0,0.83,0.91,0.88,239.0,0.16,977.0,511.0,466.0,0.26,0.62,0.28,108.0,0.07,1082.0,560.0,523.0,0.48,0.77,0.49,786.0,0.52,1185.0,609.0,575.0,0.66,0.9,0.67,71.0,0.05,1179.0,611.0,568.0,0.63,0.86,0.63,80.0,0.05,1118.0,578.0,541.0,0.56,0.76,0.58,798.0,0.53,1136.0,589.0,547.0,0.55,0.85,0.56,705.0,0.46,1180.0,593.0,587.0,0.67,0.83,0.69,65.0,0.04,1099.0,570.0,530.0,0.55,0.72,0.55,44.0,0.03,996.0,505.0,491.0,0.3,0.52,0.36,201.0,0.13,1056.0,543.0,513.0,0.4,0.73,0.42,79.0,0.05,1071.0,552.0,519.0,0.43,0.71,0.46,491.0,0.32,1148.0,585.0,563.0,0.62,0.85,0.63,587.0,0.39,1233.0,628.0,605.0,0.73,0.93,0.74,115.0,0.08,1099.0,569.0,530.0,0.5,0.74,0.51,590.0,0.39,1141.0,581.0,559.0,0.58,0.81,0.6,335.0,0.22,1198.0,609.0,589.0,0.66,0.88,0.67,267.0,0.18,1094.0,565.0,530.0,0.5,0.8,0.52,325.0,0.21,1193.0,611.0,582.0,0.68,0.89,0.69,184.0,0.12,1081.0,554.0,527.0,0.47,0.73,0.48,184.0,0.12,1081.0,554.0,527.0,0.47,0.73,0.48,237.0,0.16,1152.0,596.0,556.0,0.6,0.89,0.6,357.0,0.24,1165.0,597.0,567.0,0.63,0.88,0.65,456.0,0.3,1253.0,629.0,624.0,0.78,0.92,0.8,143.0,0.09,1065.0,548.0,517.0,0.45,0.69,0.48,1320,670,650,34,35,33.5,34,34,1160,600,560,30,31,28.5,30,30,1000,510,480,25,26,24.5,26,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320
Alaska,2625.0,0.32,625,1079,555,209.0,0.08,1061.0,538.0,523.0,0.44,0.74,0.47,44.0,0.02,1004.0,518.0,486.0,0.3,0.61,0.34,258.0,0.1,1033.0,531.0,502.0,0.35,0.71,0.37,1431.0,0.55,1118.0,576.0,542.0,0.56,0.87,0.58,334.0,0.13,1074.0,550.0,524.0,0.47,0.79,0.5,207.0,0.08,1014.0,526.0,488.0,0.36,0.66,0.37,1390.0,0.53,1057.0,550.0,507.0,0.41,0.77,0.42,1193.0,0.45,1104.0,559.0,545.0,0.56,0.8,0.59,202.0,0.08,1008.0,522.0,486.0,0.36,0.68,0.37,50.0,0.02,929.0,484.0,445.0,0.2,0.52,0.22,610.0,0.23,1017.0,526.0,491.0,0.34,0.7,0.37,148.0,0.06,1048.0,537.0,511.0,0.41,0.79,0.45,818.0,0.31,1112.0,570.0,542.0,0.56,0.86,0.58,629.0,0.24,1160.0,596.0,563.0,0.62,0.89,0.63,370.0,0.14,1002.0,514.0,488.0,0.35,0.65,0.35,774.0,0.29,1122.0,574.0,548.0,0.58,0.85,0.6,226.0,0.09,1115.0,575.0,540.0,0.53,0.85,0.54,1537.0,0.59,1051.0,541.0,510.0,0.42,0.74,0.44,88.0,0.03,1100.0,578.0,522.0,0.44,0.9,0.44,119.0,0.05,1047.0,544.0,503.0,0.4,0.75,0.42,119.0,0.05,1047.0,544.0,503.0,0.4,0.75,0.42,337.0,0.13,1069.0,554.0,515.0,0.42,0.8,0.44,928.0,0.35,1074.0,551.0,523.0,0.47,0.79,0.49,786.0,0.3,1138.0,582.0,556.0,0.62,0.87,0.64,441.0,0.17,1004.0,520.0,485.0,0.33,0.67,0.34,1200,620,590,34,34,33.0,34,34,1080,560,520,30,29,27.5,29,30,950,490,450,26,24,23.5,25,25,123.0,0.05,918.0,472.0,446.0,0.18,0.45,0.2,19.0,0.01,930.0,467.0,463.0,0.21,0.47,0.21,250
Arizona,8367.0,0.1,367,1185,599,1193.0,0.14,1301.0,639.0,661.0,0.87,0.93,0.89,312.0,0.04,1074.0,548.0,526.0,0.5,0.79,0.51,2131.0,0.25,1096.0,558.0,538.0,0.53,0.79,0.54,3799.0,0.45,1211.0,614.0,596.0,0.76,0.94,0.77,506.0,0.06,1229.0,621.0,608.0,0.8,0.94,0.81,351.0,0.04,1128.0,572.0,556.0,0.59,0.76,0.61,4332.0,0.52,1162.0,594.0,568.0,0.65,0.88,0.66,3949.0,0.47,1210.0,603.0,607.0,0.75,0.89,0.77,306.0,0.04,1099.0,557.0,542.0,0.54,0.73,0.56,281.0,0.03,981.0,498.0,483.0,0.31,0.59,0.32,1255.0,0.15,1092.0,555.0,537.0,0.51,0.79,0.54,295.0,0.04,1109.0,563.0,546.0,0.57,0.82,0.59,2915.0,0.35,1195.0,605.0,590.0,0.74,0.92,0.74,2981.0,0.36,1260.0,633.0,627.0,0.83,0.95,0.84,640.0,0.08,1096.0,555.0,540.0,0.53,0.73,0.55,5206.0,0.62,1194.0,603.0,591.0,0.71,0.88,0.72,1755.0,0.21,1193.0,601.0,592.0,0.73,0.9,0.74,1017.0,0.12,1142.0,580.0,562.0,0.63,0.87,0.64,389.0,0.05,1147.0,589.0,558.0,0.62,0.89,0.63,691.0,0.08,1106.0,561.0,545.0,0.57,0.8,0.58,691.0,0.08,1106.0,561.0,545.0,0.57,0.8,0.58,965.0,0.12,1151.0,585.0,565.0,0.64,0.88,0.65,1902.0,0.23,1192.0,605.0,587.0,0.71,0.91,0.72,3472.0,0.41,1246.0,625.0,621.0,0.82,0.94,0.83,849.0,0.1,1098.0,556.0,542.0,0.53,0.75,0.54,1330,670,670,34,35,34.0,34,34,1190,610,590,30,31,30.0,30,31,1050,530,510,27,27,26.0,27,27,68.0,0.01,1010.0,505.0,505.0,0.43,0.6,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280
Arkansas,733.0,0.02,733,1188,612,105.0,0.14,1275.0,635.0,641.0,0.82,0.92,0.83,63.0,0.09,1052.0,546.0,506.0,0.44,0.81,0.44,103.0,0.14,1117.0,582.0,535.0,0.56,0.83,0.57,384.0,0.52,1199.0,623.0,576.0,0.73,0.95,0.73,53.0,0.07,1248.0,637.0,611.0,0.74,0.98,0.74,19.0,0.03,1154.0,592.0,562.0,0.58,0.84,0.58,401.0,0.55,1169.0,612.0,558.0,0.63,0.91,0.63,323.0,0.44,1209.0,611.0,597.0,0.76,0.92,0.77,34.0,0.05,1159.0,600.0,559.0,0.62,0.91,0.62,22.0,0.03,1093.0,560.0,532.0,0.45,0.73,0.45,109.0,0.15,1091.0,562.0,529.0,0.52,0.82,0.55,27.0,0.04,1145.0,599.0,546.0,0.56,0.89,0.56,269.0,0.37,1201.0,619.0,582.0,0.74,0.94,0.74,266.0,0.36,1241.0,639.0,603.0,0.77,0.95,0.77,40.0,0.05,1085.0,565.0,521.0,0.48,0.83,0.5,399.0,0.54,1205.0,619.0,586.0,0.72,0.92,0.72,64.0,0.09,1192.0,620.0,572.0,0.64,0.94,0.66,201.0,0.27,1144.0,589.0,555.0,0.66,0.89,0.66,69.0,0.09,1207.0,629.0,579.0,0.67,0.96,0.67,129.0,0.18,1163.0,596.0,567.0,0.67,0.89,0.68,129.0,0.18,1163.0,596.0,567.0,0.67,0.89,0.68,145.0,0.2,1193.0,621.0,572.0,0.68,0.94,0.68,160.0,0.22,1231.0,631.0,601.0,0.77,0.94,0.78,156.0,0.21,1232.0,634.0,597.0,0.76,0.96,0.76,72.0,0.1,1097.0,563.0,534.0,0.54,0.81,0.54,1310,680,650,35,36,34.0,35,34,1190,620,570,31,32,29.5,31,31,1070,550,510,28,29,26.5,28,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240
California,120205.0,0.24,1086,549,537,25898.0,0.22,1275.0,627.0,648.0,0.82,0.91,0.84,5457.0,0.05,928.0,479.0,449.0,0.23,0.48,0.24,49637.0,0.41,942.0,483.0,460.0,0.25,0.49,0.27,25416.0,0.21,1195.0,606.0,589.0,0.72,0.9,0.73,6204.0,0.05,1224.0,618.0,606.0,0.77,0.93,0.77,6907.0,0.06,1023.0,518.0,505.0,0.39,0.57,0.41,61242.0,0.51,1069.0,547.0,523.0,0.47,0.7,0.48,58050.0,0.48,1102.0,550.0,552.0,0.55,0.69,0.57,19603.0,0.16,936.0,477.0,460.0,0.26,0.44,0.27,10873.0,0.09,906.0,463.0,443.0,0.18,0.42,0.19,23791.0,0.2,986.0,503.0,483.0,0.32,0.59,0.34,4099.0,0.03,1045.0,532.0,512.0,0.43,0.7,0.45,29550.0,0.25,1184.0,595.0,589.0,0.7,0.88,0.71,29259.0,0.24,1272.0,637.0,635.0,0.82,0.93,0.83,22633.0,0.19,917.0,467.0,450.0,0.23,0.4,0.24,58667.0,0.49,1077.0,544.0,533.0,0.49,0.68,0.5,47577.0,0.4,1087.0,548.0,539.0,0.52,0.7,0.53,8015.0,0.07,1054.0,537.0,516.0,0.44,0.7,0.46,5946.0,0.05,1211.0,611.0,600.0,0.7,0.88,0.71,14104.0,0.12,924.0,473.0,451.0,0.22,0.46,0.23,14104.0,0.12,924.0,473.0,451.0,0.22,0.46,0.23,12223.0,0.1,991.0,506.0,485.0,0.34,0.58,0.35,17963.0,0.15,1070.0,542.0,528.0,0.49,0.71,0.51,50085.0,0.42,1243.0,621.0,621.0,0.78,0.91,0.79,12865.0,0.11,970.0,493.0,477.0,0.31,0.52,0.32,1280,640,640,32,33,32.5,32,33,1080,550,530,28,27,27.0,28,28,880,450,420,23,22,21.0,23,22,337.0,0.0,933.0,475.0,458.0,0.23,0.49,0.25,349.0,0.0,1014.0,512.0,502.0,0.38,0.63,0.4,400
Colorado,58078.0,0.9,998,510,488,2111.0,0.04,1112.0,554.0,557.0,0.57,0.74,0.6,2283.0,0.04,895.0,460.0,435.0,0.17,0.4,0.18,18395.0,0.32,893.0,457.0,436.0,0.16,0.39,0.18,29197.0,0.5,1059.0,542.0,518.0,0.46,0.73,0.47,2465.0,0.04,1050.0,538.0,512.0,0.43,0.69,0.44,2942.0,0.05,1021.0,523.0,499.0,0.39,0.66,0.41,28634.0,0.49,997.0,516.0,482.0,0.33,0.63,0.34,29225.0,0.5,998.0,504.0,494.0,0.37,0.57,0.39,23865.0,0.41,935.0,478.0,456.0,0.24,0.48,0.25,2002.0,0.03,911.0,464.0,446.0,0.18,0.43,0.2,6213.0,0.11,995.0,510.0,485.0,0.33,0.65,0.34,1330.0,0.02,1040.0,532.0,508.0,0.42,0.74,0.43,10570.0,0.18,1134.0,578.0,556.0,0.63,0.88,0.64,8305.0,0.14,1189.0,604.0,584.0,0.72,0.91,0.73,29658.0,0.51,901.0,462.0,439.0,0.16,0.41,0.18,22228.0,0.38,977.0,499.0,478.0,0.32,0.55,0.33,19613.0,0.34,1018.0,520.0,498.0,0.39,0.65,0.4,15261.0,0.26,999.0,511.0,488.0,0.34,0.61,0.36,976.0,0.02,1062.0,547.0,514.0,0.45,0.72,0.46,5397.0,0.09,923.0,473.0,450.0,0.21,0.46,0.22,5397.0,0.09,923.0,473.0,450.0,0.21,0.46,0.22,7635.0,0.13,957.0,492.0,465.0,0.26,0.54,0.27,10777.0,0.19,1026.0,525.0,501.0,0.39,0.67,0.4,18620.0,0.32,1109.0,564.0,545.0,0.56,0.81,0.58,13299.0,0.23,892.0,457.0,435.0,0.17,0.38,0.18,1140,590,560,30,29,28.0,29,30,980,500,480,26,25,24.5,26,25,830,430,400,22,21,20.0,22,21,536.0,0.01,905.0,462.0,443.0,0.17,0.42,0.19,149.0,0.0,928.0,472.0,456.0,0.25,0.48,0.28,310
Connecticut,42020.0,0.98,990,502,488,2336.0,0.06,1206.0,594.0,612.0,0.69,0.8,0.72,4782.0,0.11,858.0,439.0,419.0,0.11,0.31,0.12,10703.0,0.25,884.0,451.0,434.0,0.16,0.35,0.17,20273.0,0.48,1058.0,536.0,522.0,0.46,0.69,0.48,1661.0,0.04,1041.0,528.0,513.0,0.43,0.63,0.45,2150.0,0.05,907.0,462.0,444.0,0.24,0.38,0.25,20515.0,0.49,991.0,508.0,483.0,0.33,0.58,0.34,21240.0,0.51,989.0,496.0,493.0,0.36,0.52,0.38,11710.0,0.28,882.0,448.0,434.0,0.17,0.34,0.18,1630.0,0.04,864.0,438.0,426.0,0.13,0.28,0.15,6551.0,0.16,945.0,482.0,463.0,0.23,0.5,0.26,1178.0,0.03,995.0,508.0,487.0,0.33,0.61,0.34,8196.0,0.2,1101.0,557.0,544.0,0.55,0.78,0.57,7851.0,0.19,1185.0,597.0,588.0,0.69,0.86,0.7,16614.0,0.4,874.0,444.0,430.0,0.14,0.32,0.16,10745.0,0.26,886.0,452.0,434.0,0.17,0.36,0.18,24059.0,0.57,1021.0,516.0,504.0,0.39,0.6,0.41,5855.0,0.14,1048.0,530.0,518.0,0.44,0.67,0.46,1361.0,0.03,1031.0,527.0,504.0,0.43,0.61,0.44,2844.0,0.07,870.0,445.0,425.0,0.12,0.33,0.14,2844.0,0.07,870.0,445.0,425.0,0.12,0.33,0.14,3403.0,0.08,926.0,473.0,453.0,0.21,0.45,0.23,7352.0,0.17,998.0,507.0,491.0,0.33,0.58,0.35,16706.0,0.4,1115.0,562.0,553.0,0.57,0.77,0.59,8770.0,0.21,864.0,440.0,424.0,0.14,0.31,0.15,1150,590,570,29,30,28.5,29,30,960,490,470,25,25,23.5,24,25,810,410,390,21,20,19.5,20,21,93.0,0.0,845.0,430.0,415.0,0.08,0.25,0.08,22.0,0.0,914.0,470.0,444.0,0.23,0.5,0.23,340
Delaware,10880.0,0.97,880,948,484,476.0,0.04,1200.0,594.0,605.0,0.66,0.81,0.69,2222.0,0.2,864.0,445.0,419.0,0.1,0.32,0.11,2010.0,0.18,880.0,448.0,432.0,0.14,0.34,0.15,4088.0,0.38,1032.0,528.0,504.0,0.4,0.68,0.42,592.0,0.05,969.0,498.0,471.0,0.26,0.56,0.27,1419.0,0.13,844.0,430.0,414.0,0.09,0.26,0.1,5450.0,0.5,952.0,491.0,461.0,0.23,0.51,0.24,5396.0,0.5,943.0,476.0,467.0,0.27,0.45,0.29,1412.0,0.13,882.0,449.0,433.0,0.14,0.34,0.16,803.0,0.07,841.0,425.0,417.0,0.09,0.24,0.11,2984.0,0.27,886.0,453.0,433.0,0.14,0.36,0.15,609.0,0.06,916.0,471.0,444.0,0.17,0.43,0.18,2790.0,0.26,1011.0,518.0,493.0,0.36,0.64,0.37,1758.0,0.16,1102.0,563.0,539.0,0.53,0.76,0.54,1936.0,0.18,867.0,441.0,426.0,0.11,0.32,0.13,1360.0,0.13,995.0,508.0,486.0,0.34,0.54,0.34,4455.0,0.41,921.0,470.0,451.0,0.21,0.43,0.22,4476.0,0.41,939.0,480.0,459.0,0.23,0.48,0.24,589.0,0.05,1117.0,568.0,548.0,0.56,0.82,0.58,1401.0,0.13,885.0,454.0,431.0,0.14,0.36,0.14,1401.0,0.13,885.0,454.0,431.0,0.14,0.36,0.14,3170.0,0.29,919.0,469.0,450.0,0.2,0.43,0.22,2214.0,0.2,958.0,490.0,468.0,0.26,0.51,0.27,2583.0,0.24,1068.0,546.0,522.0,0.46,0.72,0.47,825.0,0.08,841.0,428.0,412.0,0.09,0.26,0.1,1080,560,530,28,28,26.5,28,29,910,470,450,24,24,22.5,24,24,790,400,380,20,20,19.5,20,21,67.0,0.01,860.0,435.0,425.0,0.09,0.28,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290
District,6535.0,1.0,535,937,480,141.0,0.02,1250.0,626.0,625.0,0.73,0.84,0.73,2300.0,0.35,874.0,450.0,425.0,0.15,0.35,0.16,795.0,0.12,953.0,489.0,464.0,0.27,0.47,0.29,923.0,0.14,1231.0,630.0,602.0,0.75,0.89,0.76,190.0,0.03,1180.0,604.0,576.0,0.61,0.82,0.62,2151.0,0.33,831.0,426.0,405.0,0.09,0.24,0.1,3188.0,0.49,927.0,479.0,447.0,0.22,0.42,0.23,3282.0,0.5,946.0,480.0,466.0,0.29,0.43,0.3,3670.0,0.56,841.0,431.0,410.0,0.1,0.26,0.11,275.0,0.04,870.0,445.0,425.0,0.15,0.35,0.16,1015.0,0.16,879.0,450.0,429.0,0.14,0.35,0.16,107.0,0.02,858.0,437.0,421.0,0.08,0.28,0.1,645.0,0.1,1055.0,545.0,510.0,0.41,0.72,0.42,1245.0,0.19,1236.0,632.0,604.0,0.73,0.9,0.74,3248.0,0.5,825.0,423.0,402.0,0.09,0.23,0.1,6116.0,0.94,917.0,470.0,447.0,0.23,0.4,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419.0,0.06,1228.0,625.0,603.0,0.69,0.8,0.69,513.0,0.08,857.0,439.0,418.0,0.12,0.3,0.13,513.0,0.08,857.0,439.0,418.0,0.12,0.3,0.13,165.0,0.03,878.0,457.0,421.0,0.16,0.36,0.18,462.0,0.07,933.0,479.0,454.0,0.25,0.49,0.25,2049.0,0.31,1126.0,576.0,550.0,0.56,0.73,0.56,2689.0,0.41,837.0,429.0,408.0,0.1,0.25,0.11,1090,570,530,29,29,27.5,29,29,860,450,420,23,23,21.0,23,23,750,380,360,20,19,18.0,19,19,28.0,0.0,763.0,386.0,377.0,0.04,0.14,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340
Florida,229784.0,0.95,784,948,493,7587.0,0.03,1134.0,570.0,564.0,0.58,0.79,0.61,35727.0,0.16,867.0,456.0,411.0,0.11,0.38,0.12,78050.0,0.34,950.0,495.0,455.0,0.24,0.55,0.25,63860.0,0.28,1034.0,536.0,499.0,0.39,0.71,0.4,8572.0,0.04,997.0,518.0,479.0,0.32,0.64,0.33,34544.0,0.15,819.0,429.0,390.0,0.07,0.25,0.08,114101.0,0.5,952.0,500.0,453.0,0.24,0.56,0.24,113758.0,0.5,945.0,487.0,458.0,0.26,0.5,0.28,51911.0,0.23,829.0,434.0,395.0,0.07,0.28,0.08,13570.0,0.06,854.0,445.0,408.0,0.1,0.34,0.12,50579.0,0.22,933.0,488.0,445.0,0.2,0.54,0.21,11790.0,0.05,986.0,515.0,471.0,0.28,0.65,0.29,48068.0,0.21,1055.0,546.0,510.0,0.43,0.76,0.44,33080.0,0.14,1090.0,561.0,529.0,0.5,0.77,0.5,72697.0,0.32,835.0,437.0,398.0,0.08,0.29,0.09,63228.0,0.28,942.0,490.0,452.0,0.25,0.51,0.26,122344.0,0.53,951.0,495.0,457.0,0.25,0.54,0.26,36389.0,0.16,931.0,485.0,446.0,0.22,0.5,0.23,7823.0,0.03,1029.0,535.0,494.0,0.37,0.7,0.38,37779.0,0.16,930.0,486.0,444.0,0.2,0.52,0.21,37779.0,0.16,930.0,486.0,444.0,0.2,0.52,0.21,35128.0,0.15,970.0,505.0,465.0,0.27,0.59,0.28,38896.0,0.17,1033.0,535.0,499.0,0.39,0.71,0.4,27107.0,0.12,1112.0,570.0,542.0,0.54,0.82,0.55,57129.0,0.25,849.0,444.0,405.0,0.11,0.32,0.12,1090,570,530,32,32,30.5,32,32,920,480,430,26,25,23.5,26,26,790,410,370,22,21,19.0,21,21,1067.0,0.0,884.0,460.0,424.0,0.12,0.41,0.13,377.0,0.0,893.0,469.0,425.0,0.16,0.45,0.17,300
