Year,State,Percentile,Total,ERW,Math,Reading,Writing,Math_Test,Hist,Science
2020,Alabama,75th,1260,650,620,32,33,31,32,32
2020,Alabama,50th,1130,580,540,29,29,27,28,29
2020,Alabama,25th,990,510,480,25,26,24,25,25
2020,Alaska,75th,1220,620,600,32,31,30,31,32
2020,Alaska,50th,1090,550,540,28,27,27,28,28
2020,Alaska,25th,980,490,480,25,24,24,25,25
2020,Arizona,75th,1260,640,630,32,32,31.5,32,32
2020,Arizona,50th,1140,570,560,29,29,28,29,29
2020,Arizona,25th,1020,510,510,25,25,25.5,26,25
2020,Arkansas,75th,1290,660,640,33,34,32,33,33
2020,Arkansas,50th,1170,600,560,29,30,28,29,30
2020,Arkansas,25th,1020,520,500,26,26,25,26,26
2020,California,75th,1200,600,600,30,30,30,30,30
2020,California,50th,1030,520,520,26,26,26,26,26
2020,California,25th,880,440,430,22,22,21.5,23,22
2020,Colorado,75th,1160,590,580,30,29,29,29,30
2020,Colorado,50th,1000,510,500,26,25,25,26,25
2020,Colorado,25th,850,430,410,21,21,20.5,22,22
2020,Connecticut,75th,1200,610,590,31,31,29.5,30,31
2020,Connecticut,50th,1030,530,510,26,26,25.5,26,26
2020,Connecticut,25th,860,440,420,22,22,21,22,22
2020,Delaware,75th,1110,570,550,29,29,27.5,29,29
2020,Delaware,50th,960,490,470,25,24,23.5,25,25
2020,Delaware,25th,820,410,400,21,20,20,21,21
2020,District,75th,1170,600,580,30,30,29,30,30
2020,District,50th,910,460,450,24,23,22.5,24,24
2020,District,25th,770,390,380,20,19,19,20,20
2020,Florida,75th,1130,580,550,29,29,27.5,29,29
2020,Florida,50th,970,500,470,26,25,23.5,25,25
2020,Florida,25th,840,440,390,22,21,19.5,22,22
2020,Georgia,75th,1180,600,580,30,30,29,30,30
2020,Georgia,50th,1040,530,510,27,27,25.5,27,27
2020,Georgia,25th,920,470,440,24,23,22,24,23
2020,Hawaii,75th,1220,610,600,31,31,30,31,31
2020,Hawaii,50th,1080,550,540,27,27,27,28,28
2020,Hawaii,25th,970,480,480,24,24,24,24,24
2020,Idaho,75th,1110,570,550,29,28,27.5,28,29
2020,Idaho,50th,980,500,480,25,24,24,25,25
2020,Idaho,25th,840,420,410,21,21,20.5,22,22
2020,Illinois,75th,1150,580,580,29,29,29,29,30
2020,Illinois,50th,1000,500,500,25,24,25,25,25
2020,Illinois,25th,840,420,410,21,21,20.5,22,22
2020,Indiana,75th,1190,600,590,30,30,29.5,30,31
2020,Indiana,50th,1070,540,530,27,27,26.5,27,27
2020,Indiana,25th,950,470,470,24,23,23.5,24,24
2020,Iowa,75th,1360,680,690,34,34,34.5,34,34
2020,Iowa,50th,1230,620,600,31,31,30,31,31
2020,Iowa,25th,1090,540,530,27,27,26.5,28,27
2020,Kansas,75th,1380,690,690,34,35,34.5,34,35
2020,Kansas,50th,1250,620,620,31,31,31,31,31
2020,Kansas,25th,1110,550,550,27,28,27.5,28,28
2020,Kentucky,75th,1330,680,670,33,34,33.5,34,34
2020,Kentucky,50th,1210,610,600,30,31,30,30,31
2020,Kentucky,25th,1090,550,530,27,28,26.5,27,27
2020,Louisiana,75th,1320,670,660,33,34,33,33,33
2020,Louisiana,50th,1170,600,570,30,31,28.5,30,30
2020,Louisiana,25th,1030,530,500,26,27,25,26,26
2020,Maine,75th,1130,580,560,29,29,28,29,29
2020,Maine,50th,990,500,490,25,24,24.5,26,25
2020,Maine,25th,840,420,410,21,21,20.5,22,22
2020,Maryland,75th,1190,600,590,30,30,29.5,30,31
2020,Maryland,50th,1020,520,500,26,25,25,26,26
2020,Maryland,25th,850,430,410,22,21,20.5,22,22
2020,Massachusetts,75th,1260,640,630,32,32,31.5,32,32
2020,Massachusetts,50th,1120,560,550,28,28,27.5,28,28
2020,Massachusetts,25th,970,480,490,25,24,24.5,25,25
2020,Michigan,75th,1140,580,560,29,29,28,29,29
2020,Michigan,50th,990,500,490,25,24,24.5,25,25
2020,Michigan,25th,840,420,410,21,21,20.5,22,22
2020,Minnesota,75th,1390,690,710,35,35,35.5,35,35
2020,Minnesota,50th,1270,630,630,31,32,31.5,31,32
2020,Minnesota,25th,1130,560,560,28,28,28,28,29
2020,Mississippi,75th,1350,680,670,34,35,33.5,34,34
2020,Mississippi,50th,1190,620,580,30,31,29,30,30
2020,Mississippi,25th,1080,540,520,27,28,26,27,27
2020,Missouri,75th,1340,680,670,34,34,33.5,34,34
2020,Missouri,50th,1220,620,600,31,31,30,30,31
2020,Missouri,25th,1080,550,530,27,27,26.5,27,27
2020,Montana,75th,1290,650,640,33,33,32,33,33
2020,Montana,50th,1190,600,590,30,30,29.5,30,30
2020,Montana,25th,1080,540,530,27,27,26.5,27,28
2020,Nebraska,75th,1360,680,690,34,35,34.5,34,34
2020,Nebraska,50th,1250,620,620,31,31,31,31,31
2020,Nebraska,25th,1100,550,540,27,27,27,28,28
2020,Nevada,75th,1270,640,640,32,32,32,32,32
2020,Nevada,50th,1150,580,570,29,29,28.5,29,29
2020,Nevada,25th,1030,520,510,26,26,25.5,26,26
2020,New,75th,1190,610,590,31,30,29.5,30,31
2020,New,50th,1050,530,520,27,26,26,27,27
2020,New,25th,910,450,450,23,22,22.5,23,23
2020,New,75th,1230,620,620,31,31,31,31,31
2020,New,50th,1070,540,530,27,27,26.5,27,27
2020,New,25th,920,460,450,23,23,22.5,24,23
2020,New,75th,1190,610,590,31,31,29.5,30,31
2020,New,50th,1050,530,520,27,26,26,27,27
2020,New,25th,900,450,440,23,22,22,23,23
2020,New,75th,1210,600,610,30,30,30.5,30,31
2020,New,50th,1050,520,530,27,26,26.5,27,27
2020,New,25th,890,450,440,23,22,22,23,23
2020,North,75th,1230,620,610,31,31,30.5,31,32
2020,North,50th,1090,550,540,28,27,27,28,28
2020,North,25th,960,480,480,24,23,24,24,24
2020,North,75th,1380,690,700,34,35,35,34,35
2020,North,50th,1220,610,620,31,31,31,30,31
2020,North,25th,1110,540,540,28,27,27,28,28
2020,Ohio,75th,1230,620,620,31,31,31,31,32
2020,Ohio,50th,1070,540,530,27,27,26.5,27,27
2020,Ohio,25th,900,450,440,23,22,22,23,23
2020,Oklahoma,75th,1100,560,540,28,28,27,28,29
2020,Oklahoma,50th,950,480,470,24,23,23.5,24,24
2020,Oklahoma,25th,810,400,400,20,20,20,20,20
2020,Oregon,75th,1230,630,610,32,31,30.5,31,32
2020,Oregon,50th,1100,560,540,28,27,27,28,28
2020,Oregon,25th,970,480,480,25,24,24,25,25
2020,Pennsylvania,75th,1210,610,600,31,31,30,31,31
2020,Pennsylvania,50th,1070,540,530,27,27,26.5,28,27
2020,Pennsylvania,25th,940,470,460,24,23,23,24,24
2020,Puerto,75th,1100,570,540,29,29,27,28,29
2020,Puerto,50th,980,510,480,25,25,24,26,25
2020,Puerto,25th,860,440,410,22,22,20.5,22,22
2020,Rhode,75th,1140,580,560,29,29,28,29,29
2020,Rhode,50th,980,490,490,25,24,24.5,25,25
2020,Rhode,25th,820,420,400,21,20,20,21,21
2020,South,75th,1150,590,560,30,30,28,29,30
2020,South,50th,1020,520,500,26,26,25,26,26
2020,South,25th,890,450,430,23,22,21.5,23,23
2020,South,75th,1360,680,680,34,34,34,34,34
2020,South,50th,1230,620,600,31,31,30,30,32
2020,South,25th,1090,540,540,27,27,27,27,27
2020,Tennessee,75th,1330,670,670,33,34,33.5,33,34
2020,Tennessee,50th,1200,610,580,30,31,29,30,30
2020,Tennessee,25th,1060,540,520,26,27,26,27,27
2020,Texas,75th,1140,580,560,29,29,28,29,29
2020,Texas,50th,990,500,500,26,25,25,26,25
2020,Texas,25th,860,430,430,22,21,21.5,22,22
2020,Utah,75th,1330,670,670,33,34,33.5,33,34
2020,Utah,50th,1210,610,600,30,30,30,30,31
2020,Utah,25th,1080,540,530,27,27,26.5,27,27
2020,Vermont,75th,1230,630,600,32,31,30,31,32
2020,Vermont,50th,1100,560,540,28,27,27,28,28
2020,Vermont,25th,970,490,480,25,24,24,25,25
2020,Virgin,75th,1000,530,490,27,26,24.5,26,26
2020,Virgin,50th,890,470,420,24,23,21,23,23
2020,Virgin,25th,790,410,380,21,20,19,21,20
2020,Virginia,75th,1250,640,620,32,32,31,32,32
2020,Virginia,50th,1110,570,540,29,28,27,28,28
2020,Virginia,25th,980,500,480,25,24,24,25,25
2020,Washington,75th,1210,610,600,31,31,30,31,31
2020,Washington,50th,1070,540,530,27,26,26.5,27,27
2020,Washington,25th,920,460,460,24,22,23,24,23
2020,West,75th,1050,550,520,28,27,26,27,28
2020,West,50th,920,470,450,24,23,22.5,24,24
2020,West,25th,800,410,390,20,20,19.5,20,21
2020,Wisconsin,75th,1380,690,710,34,35,35.5,34,35
2020,Wisconsin,50th,1260,630,630,31,32,31.5,31,32
2020,Wisconsin,25th,1120,550,560,27,28,28,28,28
2020,Wyoming,75th,1310,670,660,34,34,33,33,34
2020,Wyoming,50th,1210,620,590,31,31,29.5,30,31
2020,Wyoming,25th,1130,560,550,28,27,27.5,28,28
