0,1,2,3,4,5,6,7,8,9
2023-alabama-sat-suite-of-assessments-annual-report-ADA.pdf,75th,1310,670,660,33,34,33,33,33
2023-alabama-sat-suite-of-assessments-annual-report-ADA.pdf,50th,1170,600,570,29,30,28.5,29,30
2023-alabama-sat-suite-of-assessments-annual-report-ADA.pdf,25th,1010,510,480,25,26,24,25,26
2023-alaska-sat-suite-of-assessments-annual-report-ADA.pdf,75th,1210,620,590,32,31,29.5,31,32
2023-alaska-sat-suite-of-assessments-annual-report-ADA.pdf,50th,1080,550,530,28,27,26.5,28,28
2023-alaska-sat-suite-of-assessments-annual-report-ADA.pdf,25th,950,480,460,25,24,23,24,24
2023-arizona-sat-suite-of-assessments-annual-report-ADA.pdf,75th,1320,670,660,33,34,33.5,34,33
2023-arizona-sat-suite-of-assessments-annual-report-ADA.pdf,50th,1190,600,590,30,30,29.5,30,30
2023-arizona-sat-suite-of-assessments-annual-report-ADA.pdf,25th,1060,530,520,26,26,26,27,27
2023-arkansas-sat-suite-of-assessments-annual-report-ADA.pdf,75th,1320,680,660,34,35,33,34,34
2023-arkansas-sat-suite-of-assessments-annual-report-ADA.pdf,50th,1200,620,580,31,32,29,30,31
2023-arkansas-sat-suite-of-assessments-annual-report-ADA.pdf,25th,1060,550,520,27,28,26,27,27
2023-california-sat-suite-of-assessments-annual-report-ADA.pdf,75th,1270,640,640,32,32,32,32,32
2023-california-sat-suite-of-assessments-annual-report-ADA.pdf,50th,1080,550,530,27,27,26.5,27,27
2023-california-sat-suite-of-assessments-annual-report-ADA.pdf,25th,880,450,420,23,22,21,23,22
2023-colorado-sat-suite-of-assessments-annual-report-ADA.pdf,75th,1130,580,560,29,29,28,29,30
2023-colorado-sat-suite-of-assessments-annual-report-ADA.pdf,50th,980,500,480,25,25,24,25,25
2023-colorado-sat-suite-of-assessments-annual-report-ADA.pdf,25th,840,430,400,22,21,20,22,21
2023-connecticut-sat-suite-of-assessments-annual-report-ADA.pdf,75th,1160,590,570,30,30,28.5,29,30
2023-connecticut-sat-suite-of-assessments-annual-report-ADA.pdf,50th,990,500,480,25,25,24,25,25
2023-connecticut-sat-suite-of-assessments-annual-report-ADA.pdf,25th,830,420,400,21,21,20,21,21
2023-delaware-sat-suite-of-assessments-annual-report-ADA.pdf,75th,1080,560,540,28,28,27,28,28
2023-delaware-sat-suite-of-assessments-annual-report-ADA.pdf,50th,930,480,460,24,24,23,24,24
2023-delaware-sat-suite-of-assessments-annual-report-ADA.pdf,25th,800,410,390,21,20,19.5,20,21
2023-district-of-columbia-sat-suite-of-assessments-annual-report.pdf,75th,1160,600,570,30,30,28.5,30,30
2023-district-of-columbia-sat-suite-of-assessments-annual-report.pdf,50th,890,460,440,24,23,22,24,23
2023-district-of-columbia-sat-suite-of-assessments-annual-report.pdf,25th,760,390,370,20,18,18.5,20,19
2023-florida-sat-suite-of-assessments-annual-report-ADA.pdf,75th,1110,570,540,29,29,27,29,29
2023-florida-sat-suite-of-assessments-annual-report-ADA.pdf,50th,940,490,440,25,25,22.5,25,24
2023-florida-sat-suite-of-assessments-annual-report-ADA.pdf,25th,810,430,370,22,21,18.5,21,21
2023-georgia-sat-suite-of-assessments-annual-report-ADA.pdf,75th,1190,610,580,31,31,29,31,31
2023-georgia-sat-suite-of-assessments-annual-report-ADA.pdf,50th,1040,530,510,27,26,25.5,27,27
2023-georgia-sat-suite-of-assessments-annual-report-ADA.pdf,25th,910,470,430,24,23,21.5,24,23
